ram_speed 0.03 (VC 1929/Win/asm:on)

test target: physical

Environment Info
OS : Windows 10 x64 (19045) [CP932]
CPU: Intel Core i5-7500 @ 3.40GHz [TB: 3.70GHz] (4C/4T)
RAM: Used 3726 MB, Total 32468 MB

Intel Core i5-7500 @ 3.40GHz [TB: 3.70GHz] (4C/4T)
CPU cores
  core  0   : *---
  core  1   : -*--
  core  2   : --*-
  core  3   : ---*
CPU caches
  cache L1D : *--- :  8way     32KB
  cache L1I : *--- :  8way     32KB
  cache L1D : -*-- :  8way     32KB
  cache L1I : -*-- :  8way     32KB
  cache L1D : --*- :  8way     32KB
  cache L1I : --*- :  8way     32KB
  cache L1D : ---* :  8way     32KB
  cache L1I : ---* :  8way     32KB
  cache L2  : *--- :  4way    256KB
  cache L2  : -*-- :  4way    256KB
  cache L2  : --*- :  4way    256KB
  cache L2  : ---* :  4way    256KB
  cache L3  : **** : 12way   6144KB

inter core latency (ns)
      ,     0  ,     1  ,     2  ,     3  
      4, 226.4, 446.4, 669.6, 868.0,
      5, 223.2, 446.4, 669.6, 868.0,
      5, 223.1, 446.4, 669.6, 868.0,
      6, 223.2, 446.4, 669.6, 868.0,
      6, 223.2, 404.9, 669.6, 868.0,
      7, 223.2, 363.4, 669.6, 868.0,
      7, 223.2, 404.9, 669.6, 868.0,
      8, 223.2, 446.4, 669.6, 868.1,
      9, 205.5, 446.3, 669.6, 868.0,
     10, 205.5, 446.3, 628.1, 868.0,
     10, 205.5, 446.3, 545.0, 868.0,
     11, 205.5, 446.3, 628.1, 868.0,
     12, 219.9, 431.4, 669.6, 828.6,
     13, 220.0, 446.3, 669.5, 747.7,
     15, 220.0, 446.3, 669.5, 789.1,
     16, 211.1, 446.4, 669.5, 868.1,
     17, 211.1, 425.6, 669.5, 867.9,
     19, 211.1, 405.7, 669.5, 867.8,
     21, 211.1, 411.1, 669.5, 831.9,
     23, 213.9, 411.0, 669.5, 867.8,
     25, 213.9, 439.9, 666.4, 864.9,
     27, 213.8, 439.9, 611.3, 867.8,
     29, 213.9, 439.9, 616.7, 833.6,
     32, 202.9, 422.3, 616.6, 868.1,
     35, 110.8, 422.2, 631.0, 798.5,
     38,  94.0, 422.2, 660.0, 798.5,
     41,  93.9, 425.1, 660.0, 798.6,
     45,  95.3, 427.9, 648.4, 800.9,
     49,  95.0, 427.7, 632.8, 855.8,
     54,  94.6, 427.5, 633.3, 855.7,
     59,  95.0, 427.8, 633.3, 855.7,
     64,  95.3, 417.0, 633.4, 822.4,
     70,  94.7, 219.2, 641.9, 819.5,
     76,  95.2, 185.9, 641.6, 822.1,
     83,  95.1, 189.6, 641.5, 822.2,
     91,  95.3, 181.7, 641.9, 827.5,
     99,  95.0, 188.9, 486.3, 832.6,
    108,  94.8, 189.7, 286.3, 832.2,
    117,  95.0, 190.3, 277.2, 778.6,
    128,  94.7, 188.3, 278.9, 812.2,
    140,  95.3, 189.9, 273.4, 470.9,
    152,  90.5, 188.5, 277.2, 352.6,
    166,  91.3, 185.1, 283.1, 353.0,
    181,  90.6, 187.7, 276.6, 355.3,
    197,  87.8, 186.7, 278.3, 370.0,
    215,  86.3, 189.3, 280.2, 365.1,
    235,  80.5, 189.4, 279.5, 361.4,
    256,  77.7, 190.0, 284.8, 357.8,
    279,  75.4, 189.0, 279.9, 356.9,
    304,  70.0, 180.7, 276.7, 370.7,
    332,  66.9, 176.8, 276.7, 368.0,
    362,  64.8, 174.7, 280.3, 364.9,
    395,  62.5, 170.8, 270.7, 362.1,
    431,  61.0, 163.6, 265.1, 368.5,
    470,  59.3, 151.8, 261.6, 367.1,
    512,  58.3, 145.9, 262.3, 357.4,
    558,  57.2, 145.6, 262.5, 348.1,
    609,  56.6, 141.2, 254.6, 342.7,
    664,  56.5, 134.3, 247.2, 361.8,
    724,  56.1, 129.3, 267.7, 364.1,
    790,  56.2, 122.6, 261.6, 368.3,
    861,  56.2, 117.2, 236.0, 353.0,
    939,  56.2, 115.0, 212.1, 349.6,
   1024,  56.2, 114.7, 196.7, 338.8,
   1117,  56.1, 114.5, 188.4, 310.2,
   1218,  56.1, 114.4, 178.5, 278.6,
   1328,  56.1, 114.3, 170.5, 257.8,
   1448,  56.1, 114.3, 168.9, 246.0,
   1579,  56.2, 114.2, 168.2, 233.5,
   1722,  56.2, 111.0, 167.9, 223.3,
   1878,  56.2, 114.1, 168.0, 217.7,
   2048,  56.2, 114.1, 168.1, 217.2,
   2233,  56.1, 114.1, 168.0, 221.1,
   2435,  56.2, 114.0, 167.9, 216.8,
   2656,  56.1, 114.3, 165.6, 221.6,
   2896,  56.1, 114.1, 159.3, 214.4,
   3158,  56.2, 114.1, 156.4, 216.4,
   3444,  56.2,  94.1, 167.8, 194.8,
   3756,  47.1, 104.4, 141.9, 188.5,
   4096,  54.8,  87.4, 163.6, 200.9,
   4467,  46.8, 102.8, 137.0, 174.8,
   4871,  48.6,  95.8, 134.1, 147.9,
   5312,  43.4,  77.2, 113.6, 158.7,
   5793,  39.3,  79.9, 109.3,  90.8,
   6317,  36.8,  65.6,  89.1, 121.5,
   6889,  32.7,  73.2,  59.1, 103.2,
   7512,  34.0,  58.5,  49.2, 104.8,
   8192,  31.6,  58.2,  72.3, 100.7,
   8933,  29.6,  51.6,  52.7,  83.4,
   9742,  29.8,  50.7,  54.7,  68.1,
  10624,  28.5,  47.8,  52.4,  66.5,
  11585,  27.6,  46.4,  51.3,  65.7,
  12634,  27.4,  44.8,  46.3,  47.4,
  13777,  26.5,  42.7,  44.4,  44.8,
  15024,  26.0,  33.6,  42.5,  42.3,
  16384,  24.5,  39.9,  41.1,  40.9,
  17867,  24.0,  38.1,  39.6,  39.7,
  19484,  24.4,  37.4,  38.4,  38.5,
  21247,  24.2,  36.9,  37.5,  37.5,
  23170,  24.0,  36.0,  36.8,  36.7,
  25268,  17.7,  35.5,  36.1,  36.1,
  27554,  23.4,  34.9,  35.6,  35.4,
  30048,  23.1,  34.1,  35.0,  34.9,
  32768,  23.2,  34.1,  34.6,  34.6,
  35734,  23.2,  33.8,  33.6,  34.1,
  38968,  22.5,  33.4,  33.9,  33.8,
  42495,  22.8,  33.2,  33.5,  33.4,
  46341,  22.6,  32.9,  33.3,  33.2,
  50535,  22.5,  32.6,  33.0,  32.9,
  55109,  22.6,  32.3,  32.9,  32.8,
  60097,  22.7,  32.2,  32.6,  32.5,
  65536,  22.4,  32.0,  32.5,  32.4,
  71468,  22.5,  31.8,  32.3,  32.3,
  77936,  22.4,  31.7,  32.2,  32.1,
  84990,  22.3,  31.6,  32.0,  32.0,
  92682,  22.2,  31.4,  31.8,  31.9,
 101070,  22.1,  31.1,  31.7,  31.8,
 110218,  21.8,  30.9,  31.6,  31.7,
 120194,  21.6,  30.9,  31.5,  31.5,
 131072,  21.2,  30.7,  31.3,  31.5,
 142935,  21.3,  30.5,  31.3,  31.4,
 155872,  21.2,  30.4,  31.3,  31.4,
 169979,  21.1,  30.2,  31.1,  31.3,
 185364,  21.0,  30.2,  31.1,  31.2,
 202141,  20.9,  30.1,  31.1,  31.2,
 220436,  20.8,  30.0,  31.0,  31.2,
 240387,  20.7,  29.9,  30.9,  31.1,
 262144,  20.6,  29.9,  30.8,  31.1,
 285870,  20.6,  29.6,  30.8,  31.1,
