ram_speed 0.01

Environment Info
OS : Ubuntu 19.10 x64
CPU: AMD Ryzen 7 3700X 8-Core Processor 
RAM: Used 7848 MB, Total 15938 MB

inter core latency
     8, 128.6, 202.0, 321.5, 455.5, 593.8, 701.5, 829.1, 964.9,
     9, 128.6, 193.7, 321.7, 450.0, 575.9, 701.5, 832.6, 953.0,
    10, 128.6, 243.0, 321.4, 455.5, 575.9, 698.5, 829.1, 953.0,
    10, 128.6, 188.2, 321.8, 458.6, 575.9, 701.5, 829.1, 956.6,
    11, 128.6, 192.8, 330.6, 446.4, 593.8, 701.3, 826.0, 952.7,
    12, 128.6, 192.8, 330.5, 455.5, 575.8, 701.5, 826.7, 961.2,
    13, 128.6, 192.8, 321.3, 449.6, 575.8, 701.5, 826.0, 956.1,
    15, 128.0, 192.8, 321.3, 458.1, 575.8, 707.5, 827.8, 952.7,
    16, 128.6, 252.1, 321.9, 448.4, 593.7, 701.5, 829.1, 956.6,
    17, 125.0, 192.7, 321.3, 446.8, 593.7, 701.5, 829.1, 952.6,
    19, 128.6, 192.7, 321.4, 455.5, 575.9, 701.5, 825.5, 961.2,
    21, 128.6, 193.0, 321.8, 458.6, 593.7, 709.9, 825.5, 952.6,
    23, 125.9, 192.7, 321.8, 446.4, 575.8, 701.5, 825.5, 953.0,
    25, 125.9, 192.7, 321.4, 446.4, 575.8, 701.5, 829.1, 953.0,
    27, 125.9, 192.7, 321.3, 455.5, 575.8, 701.5, 834.5, 956.6,
    29, 126.4, 255.0, 321.3, 446.8, 572.3, 698.9, 829.0, 953.0,
    32, 126.0, 192.8, 324.9, 458.6, 575.8, 698.9, 825.5, 952.6,
    35, 123.5, 232.3, 330.5, 455.4, 593.3, 701.5, 837.7, 964.3,
    38, 123.5, 201.9, 327.2, 458.6, 575.9, 701.5, 815.1, 961.1,
    41, 123.4, 191.3, 321.3, 455.4, 575.8, 698.7, 826.7, 946.1,
    45, 123.5, 190.1, 321.3, 452.3, 593.6, 698.5, 825.9, 949.5,
    49, 123.8, 197.9, 321.6, 449.9, 575.7, 701.5, 825.6, 954.0,
    54, 123.8, 198.8, 321.3, 453.5, 562.1, 698.8, 834.9, 961.5,
    59, 125.4, 198.5, 321.3, 455.4, 575.7, 698.8, 827.0, 953.0,
    64, 124.0, 197.8, 321.3, 446.4, 593.6, 691.9, 834.2, 961.2,
    70, 124.0, 193.3, 321.6, 437.4, 575.7, 701.4, 826.0, 961.5,
    76, 125.4, 186.6, 316.5, 446.7, 593.7, 701.4, 801.7, 956.5,
    83, 125.8, 193.6, 316.0, 443.8, 593.5, 698.8, 825.5, 952.4,
    91, 125.0, 186.3, 316.2, 442.2, 575.7, 701.4, 829.5, 946.6,
    99, 125.6, 195.3, 320.2, 447.7, 589.6, 698.2, 828.8, 956.3,
   108, 125.8, 186.4, 317.3, 440.7, 593.7, 698.4, 837.3, 961.0,
   117, 124.6, 186.2, 308.5, 451.1, 560.4, 701.4, 825.3, 960.9,
   128, 125.5, 186.8, 316.8, 437.5, 564.5, 698.5, 834.1, 953.0,
   140, 126.0, 187.5, 318.3, 431.4, 566.4, 687.1, 825.5, 926.6,
   152, 125.5, 222.7, 310.6, 438.9, 564.5, 687.2, 825.4, 952.3,
   166, 125.2, 187.9, 309.9, 437.9, 558.1, 687.5, 813.0, 942.3,
   181, 126.1, 187.6, 310.3, 441.0, 556.3, 696.0, 823.1, 943.1,
   197, 124.8, 187.6, 319.9, 439.4, 553.3, 687.2, 811.9, 935.5,
   215, 125.0, 187.9, 311.4, 439.6, 551.5, 671.6, 812.4, 936.8,
   235, 118.4, 187.7, 321.6, 443.2, 555.7, 673.5, 799.4, 945.8,
   256, 118.4, 197.0, 320.3, 442.4, 556.6, 674.2, 790.9, 933.1,
   279, 118.1, 195.4, 310.9, 439.7, 563.6, 671.9, 794.6, 924.4,
   304, 124.8, 188.3, 312.4, 440.1, 572.6, 678.1, 795.7, 914.2,
   332, 115.8, 188.0, 321.2, 433.3, 572.1, 674.3, 797.2, 922.6,
   362, 125.0, 188.5, 321.2, 441.8, 554.6, 673.9, 794.6, 917.3,
