ram_speed 0.01 (VC 1927/Win/asm:on)

Environment Info
OS : Windows 10 x64 (19042)
CPU: 11th Gen Intel Core i7-11700K @ 3.60GHz [TB: 5.00GHz] (8C/16T)
RAM: Used 2539 MB, Total 16181 MB

inter core latency
   12.94,   46.71,   58.58,   58.98,   58.48,   58.92,   58.69,   58.54
   48.04,   12.96,   42.99,   44.51,   42.98,   42.23,   42.03,   50.47
   47.79,   41.86,   12.89,   45.71,   47.03,   54.39,   54.57,   52.57
   47.94,   43.96,   43.65,   12.91,   45.21,   52.69,   53.13,   51.40
   50.62,   46.71,   45.15,   44.99,   12.80,   55.42,   54.77,   53.84
   50.02,   45.31,   54.53,   51.23,   54.70,   12.66,   56.00,   55.85
   51.16,   47.75,   54.50,   55.86,   55.45,   55.75,   12.98,   57.03
   58.05,   52.20,   50.87,   51.16,   53.30,   53.91,   55.44,   12.98

ram latency
, sequantial, cacheline forward2, full random
     4, 1.03, 1.03, 1.03
     4, 1.03, 1.03, 1.03
     5, 1.03, 1.02, 1.03
     5, 1.02, 1.02, 1.02
     6, 1.02, 1.02, 1.02
     6, 1.02, 1.02, 1.02
     7, 1.02, 1.02, 1.02
     7, 1.02, 1.02, 1.02
     8, 1.02, 1.02, 1.02
     9, 1.02, 1.02, 1.02
    10, 1.02, 1.02, 1.02
    10, 1.02, 1.02, 1.02
    11, 1.02, 1.02, 1.02
    12, 1.02, 1.02, 1.02
    13, 1.02, 1.02, 1.02
    15, 1.02, 1.02, 1.02
    16, 1.02, 1.02, 1.02
    17, 1.02, 1.02, 1.02
    19, 1.02, 1.02, 1.02
    21, 1.02, 1.02, 1.02
    23, 1.02, 1.02, 1.02
    25, 1.02, 1.02, 1.02
    27, 1.02, 1.02, 1.02
    29, 1.02, 1.02, 1.02
    32, 1.02, 1.02, 1.02
    35, 1.02, 1.02, 1.02
    38, 1.02, 1.02, 1.02
    41, 1.02, 1.02, 1.02
    45, 1.02, 1.02, 1.02
    49, 1.03, 1.60, 1.07
    54, 1.02, 2.45, 1.22
    59, 1.02, 2.49, 1.35
    64, 1.02, 2.49, 1.47
    70, 1.02, 2.49, 1.57
    76, 1.02, 2.49, 1.67
    83, 1.02, 2.49, 1.74
    91, 1.02, 2.49, 1.82
    99, 1.02, 2.49, 1.90
   108, 1.02, 2.49, 1.96
   117, 1.02, 2.49, 2.02
   128, 1.02, 2.49, 2.07
   140, 1.02, 2.49, 2.12
   152, 1.02, 2.49, 2.17
   166, 1.02, 2.49, 2.20
   181, 1.02, 2.49, 2.25
   197, 1.02, 2.49, 2.28
   215, 1.02, 2.49, 2.31
   235, 1.02, 2.49, 2.34
   256, 1.02, 2.49, 2.37
   279, 1.02, 2.49, 2.51
   304, 1.02, 2.50, 2.65
   332, 1.02, 2.51, 2.76
   362, 1.02, 2.50, 2.87
   395, 1.02, 2.51, 2.97
   431, 1.02, 2.51, 3.07
   470, 1.02, 2.61, 3.21
   512, 1.02, 2.97, 3.29
   558, 1.02, 3.46, 4.01
   609, 1.02, 3.95, 4.67
   664, 1.02, 4.13, 5.30
   724, 1.02, 4.19, 5.85
   790, 1.02, 4.24, 6.36
   861, 1.02, 4.27, 6.83
   939, 1.02, 4.31, 6.95
