ram_speed 0.01 (gcc 7.5.0/Linux/asm:off)

Environment Info
OS : Ubuntu 18.04.5 LTS
CPU: Cortex-A57 aarch64 (4C/4T)
RAM: Used 1005 MB, Total 1979 MB

inter core latency
,       ,  121.07,   80.16,   78.68
   78.78,       ,   77.47,   76.67
   78.28,   73.15,       ,   76.29
   79.61,   78.00,   78.45,       

ram latency
, sequantial, cacheline forward2, full random
     9,  21.5,  41.9,  66.1,  88.1,
    10,  21.5,  42.1,  63.4,  88.1,
    10,  21.6,  42.2,  62.0,  88.1,
    11,  21.6,  42.4,  62.3,  88.1,
    12,  21.6,  42.5,  62.6,  66.2,
    13,  21.7,  42.6,  62.8,  84.0,
    15,  21.7,  42.7,  63.2,  82.9,
    16,  21.7,  42.8,  63.3,  83.3,
    17,  17.1,  42.9,  63.6,  83.6,
    19,  13.0,  43.1,  63.8,  64.7,
    21,  13.6,  43.1,  64.0,  65.3,
    23,  13.7,  43.2,  64.1,  78.2,
    25,  14.2,  43.3,  64.3,  85.0,
    27,  13.3,  43.3,  64.5,  85.1,
    29,  12.2,  43.4,  64.6,  65.7,
    32,  14.8,  43.5,  64.7,  65.8,
    35,  12.7,  38.9,  64.8,  69.9,
    38,  12.3,  26.7,  65.0,  66.0,
    41,  11.9,  32.1,  65.0,  66.2,
    45,  12.4,  26.3,  54.3,  86.4,
    49,  12.6,  28.5,  56.0,  66.5,
    54,  12.1,  28.1,  37.2,  66.3,
    59,  11.5,  28.7,  44.3,  59.3,
    64,  11.1,  24.5,  40.4,  67.5,
    70,  11.0,  24.8,  33.8,  45.1,
    76,  11.7,  24.9,  34.2,  50.9,
    83,  11.5,  27.7,  34.6,  34.2,
    91,  11.0,  24.6,  30.5,  38.3,
    99,  11.0,  24.3,  29.9,  32.0,
   108,  11.1,  23.9,  31.5,  26.1,
   117,  11.1,  23.1,  27.7,  30.2,
   128,  11.2,  21.9,  29.2,  34.5,
   140,  11.2,  22.9,  28.2,  33.5,
   152,  11.2,  21.7,  27.0,  27.3,
   166,  11.1,  22.1,  26.2,  31.2,
   181,  11.1,  21.7,  23.5,  24.8,
   197,  11.2,  21.7,  22.8,  27.6,
   215,  11.1,  21.7,  22.7,  24.2,
   235,  11.2,  21.7,  23.0,  23.7,
   256,  11.2,  21.5,  22.3,  21.4,
   279,  11.1,  21.5,  21.8,  21.3,
   304,  11.2,  21.5,  21.9,  21.7,
   332,  11.1,  21.5,  21.9,  21.3,
   362,  11.2,  21.5,  21.9,  20.5,
   395,  11.2,  21.5,  21.9,  20.6,
   431,  11.2,  21.5,  21.9,  21.2,
   470,  11.1,  21.5,  21.8,  20.8,
   512,  11.2,  21.5,  21.9,  20.3,
   558,  11.2,  21.5,  21.9,  20.4,
   609,  11.2,  21.5,  21.9,  20.4,
   664,  11.1,  21.4,  21.9,  20.4,
   724,  11.1,  21.4,  21.9,  20.3,
   790,  11.1,  21.5,  21.9,  20.6,
   861,  11.1,  21.5,  21.9,  20.0,
   939,  11.1,  21.5,  21.8,  20.4,
  1024,  11.1,  21.5,  21.9,  20.3,
  1117,  11.0,  21.4,  21.9,  20.6,
  1218,  10.3,  21.3,  21.4,  19.9,
  1328,  10.3,  20.5,  21.9,  19.9,
  1448,   9.9,  19.7,  20.3,  18.6,
  1579,   9.0,  17.9,  19.1,  17.1,
  1722,   8.4,  14.5,  17.0,  17.7,
  1878,   6.9,  12.3,  17.7,  15.0,
  2048,   5.3,  11.2,  15.6,  16.0,
  2233,   4.7,   9.3,  12.8,  11.6,
  2435,   4.7,   8.4,  11.0,  10.5,
  2656,   4.4,   7.9,  10.2,   9.5,
  2896,   4.6,   7.7,   9.3,   8.8,
  3158,   4.4,   7.4,   8.7,   8.2,
  3444,   4.3,   7.2,   8.1,   7.7,
  3756,   4.3,   6.9,   7.8,   8.1,
  4096,   4.3,   6.6,   7.5,   6.9,
  4467,   4.3,   6.4,   7.3,   7.1,
  4871,   4.3,   6.2,   7.1,   6.8,
  5312,   4.2,   6.2,   7.0,   6.7,
  5793,   4.2,   6.0,   6.9,   6.7,
  6317,   4.2,   6.0,   6.8,   6.4,
  6889,   4.2,   5.9,   6.7,   6.2,
  7512,   4.1,   5.9,   6.7,   5.9,
  8192,   4.1,   5.8,   6.7,   6.0,
  8933,   4.1,   5.8,   6.7,   6.1,
  9742,   4.1,   5.8,   6.7,   6.2,
 10624,   4.1,   5.8,   6.6,   6.0,
 11585,   4.2,   5.7,   6.6,   6.3,
 12634,   4.2,   5.7,   6.6,   6.1,
 13777,   4.1,   5.7,   6.6,   5.9,
 15024,   4.1,   5.7,   6.6,   6.0,
 16384,   4.1,   5.8,   6.6,   6.1,
 17867,   4.1,   5.7,   6.6,   6.0,
 19484,   4.2,   5.8,   6.6,   6.1,
 21247,   4.2,   5.7,   6.6,   6.0,
 23170,   4.2,   5.8,   6.6,   5.9,
 25268,   4.3,   5.8,   6.6,   6.5,
 27554,   4.2,   5.8,   6.6,   5.8,
 30048,   4.2,   5.8,   6.6,   5.9,
 32768,   4.5,   5.8,   6.6,   6.0,
 35734,   4.5,   5.8,   6.6,   5.9,
 38968,   4.5,   5.8,   6.6,   5.9,
 42495,   4.5,   5.8,   6.6,   6.0,
 46341,   4.5,   5.8,   6.6,   5.8,
 50535,   4.5,   5.8,   6.6,   5.9,
 55109,   4.5,   5.8,   6.7,   6.2,
 60097,   4.5,   5.8,   6.7,   6.2,
 65536,   4.5,   5.8,   6.6,   6.1,
 71468,   4.5,   5.8,   6.7,   6.2,
 77936,   4.5,   5.8,   6.6,   5.9,
 84990,   4.5,   5.8,   6.7,   5.9,
