ram_speed 0.01 (VC 1927/Win/asm:on)

Environment Info
OS : Windows 10 x64 (18363)
CPU: Intel Core i7-4610Y @ 1.70GHz [TB: 2.89GHz] (2C/4T)
RAM: Used 2200 MB, Total 3991 MB

inter core latency
   38.82,   75.82
   79.01,   43.36

ram latency
, sequantial, cacheline forward2, full random
   215,  63.0, 118.4,
   235,  65.1, 121.8,
   256,  63.0, 125.5,
   279,  41.1, 127.8,
   304,  34.6, 132.2,
   332,  32.3, 128.3,
   362,  32.2, 129.2,
   395,  32.2, 131.0,
   431,  32.1, 134.7,
   470,  32.2, 124.1,
   512,  32.2, 120.2,
   558,  32.1,  71.6,
   609,  32.1,  59.9,
   664,  32.2,  57.4,
   724,  32.2,  57.3,
   790,  32.2,  57.3,
   861,  32.1,  57.2,
   939,  32.1,  57.3,
  1024,  32.2,  57.2,
  1117,  32.1,  57.1,
  1218,  32.1,  57.2,
  1328,  32.1,  57.1,
  1448,  32.1,  57.2,
  1579,  32.2,  57.3,
  1722,  32.1,  57.3,
  1878,  32.1,  57.3,
  2048,  32.2,  57.2,
  2233,  32.1,  57.2,
  2435,  32.1,  57.3,
  2656,  32.2,  57.1,
  2896,  31.8,  56.8,
  3158,  31.4,  55.0,
  3444,  29.9,  54.1,
  3756,  28.2,  48.3,
  4096,  24.8,  42.6,
  4467,  21.2,  37.3,
  4871,  19.2,  32.2,
  5312,  17.9,  27.2,
  5793,  17.6,  21.0,
  6317,  16.6,  22.2,
  6889,  14.6,  21.4,
  7512,  16.0,  21.1,
  8192,  15.9,  20.4,
  8933,  15.3,  19.1,
  9742,  15.0,  19.2,
 10624,  15.4,  18.9,
 11585,  14.8,  18.6,
 12634,  14.9,  18.7,
 13777,  15.0,  18.7,
 15024,  14.8,  18.4,
 16384,  14.2,  18.4,
 17867,  14.1,  18.2,
 19484,  14.0,  18.3,
 21247,  14.0,  18.2,
 23170,  14.0,  17.4,
 25268,  14.3,  18.2,
 27554,  14.3,  18.1,
 30048,  13.8,  17.7,
 32768,  14.2,  17.9,
 35734,  13.9,  17.9,
 38968,  13.7,  17.9,
 42495,  13.9,  17.8,
 46341,  13.6,  17.9,
 50535,  13.9,  17.8,
 55109,  13.9,  17.6,
 60097,  13.8,  17.8,
 65536,  13.8,  17.6,
 71468,  13.8,  17.8,
 77936,  13.8,  17.9,
 84990,  13.8,  17.8,
 92682,  13.8,  18.0,
101070,  13.7,  18.0,
110218,  13.7,  17.7,
120194,  13.7,  17.8,
131072,  13.6,  17.8,
142935,  13.7,  17.8,
155872,  13.7,  18.1,
169979,  13.7,  18.0,
185364,  13.3,  18.0,
202141,  13.7,  18.0,
220436,  13.7,  18.0,
240387,  13.7,  17.8,
262144,  13.6,  17.9,

write bandwidth
     4,  78.1, 156.3,
     4,  32.8, 118.6,
     5,  75.1, 156.2,
     5,  78.0, 156.2,
     6,  56.6, 156.2,
     6,  47.6, 156.2,
     7,  50.7, 150.2,
     7,  60.1, 156.2,
     8,  53.5, 156.3,
     9,  76.6, 156.2,
    10,  43.3, 156.2,
    10,  41.5, 156.2,
    11,  68.5, 156.1,
    12,  62.9, 156.2,
    13,  78.0, 156.2,
    15,  68.5, 156.2,
    16,  75.1, 156.3,
    17,  56.6, 154.6,
    19,  75.1, 156.1,
    21,  63.0, 156.2,
    23,  66.2, 156.2,
    25,  86.4, 155.9,
    27,  74.8, 156.0,
    29,  86.3, 156.1,
    32,  76.6, 156.3,
    35,  31.0, 156.2,
    38,  27.6, 156.0,
    41,  27.7, 155.9,
    45,  27.7, 131.3,
    49,  27.6, 155.8,
    54,  24.3, 155.5,
    59,  22.8, 155.3,
    64,  24.7, 153.2,
    70,  27.7,  61.3,
    76,  23.9,  49.0,
    83,  27.7,  49.4,
    91,  27.7,  49.4,
    99,  27.6,  49.3,
   108,  27.6,  49.2,
   117,  24.7,  49.4,
   128,  27.7,  49.4,
   140,  24.8,  49.5,
   152,  24.7,  49.6,
   166,  27.7,  49.4,
   181,  27.6,  49.5,
   197,  27.7,  44.4,
   215,  24.0,  49.4,
   235,  25.2,  49.5,
   256,  23.5,  49.4,
   279,  23.6,  49.6,
   304,  20.6,  49.7,
   332,  22.1,  49.7,
   362,  21.2,  49.4,
   395,  20.6,  49.4,
   431,  20.1,  48.7,
   470,  20.0,  47.7,
   512,  20.0,  45.8,
   558,  20.0,  43.9,
   609,  18.1,  40.9,
   664,  20.1,  38.9,
   724,  20.1,  37.2,
   790,  20.0,  36.3,
   861,  20.0,  35.6,
   939,  19.4,  35.7,
  1024,  20.0,  35.6,
  1117,  20.1,  35.6,
  1218,  20.0,  35.6,
  1328,  20.1,  35.6,
  1448,  20.0,  35.6,
  1579,  20.1,  35.5,
  1722,  20.0,  35.6,
  1878,  20.0,  35.7,
  2048,  20.0,  35.7,
  2233,  20.1,  35.7,
