ram_speed 0.01 (VC 1927/Win/asm:on)

Environment Info
OS : Windows 10 x64 (18363)
CPU: Intel Core i7-4610Y @ 1.70GHz [TB: 2.89GHz] (2C/4T)
RAM: Used 2200 MB, Total 3991 MB

inter core latency
   38.82,   75.82
   79.01,   43.36

ram latency
, sequantial, cacheline forward2, full random
  2435,  20.0,  35.6,
  2656,  20.1,  35.7,
  2896,  20.0,  35.3,
  3158,  19.2,  34.5,
  3444,  19.4,  33.5,
  3756,  17.0,  28.8,
  4096,  15.5,  25.3,
  4467,  15.5,  23.4,
  4871,  12.3,  19.2,
  5312,  10.7,  13.9,
  5793,  11.1,  12.5,
  6317,  10.5,  11.4,
  6889,  10.2,  10.9,
  7512,  10.0,  10.5,
  8192,   9.8,  10.0,
  8933,   9.6,   9.7,
  9742,   9.5,   9.5,
 10624,   9.4,   9.4,
 11585,   9.3,   9.0,
 12634,   9.0,   9.2,
 13777,   9.1,   9.2,
 15024,   9.0,   9.0,
 16384,   9.0,   9.0,
 17867,   8.9,   8.9,
 19484,   8.8,   8.7,
 21247,   8.8,   8.8,
 23170,   8.7,   8.7,
 25268,   8.7,   8.7,
 27554,   8.5,   8.7,
 30048,   8.6,   8.6,
 32768,   8.6,   8.6,
 35734,   7.5,   8.4,
 38968,   8.3,   8.6,
 42495,   8.3,   8.6,
 46341,   8.3,   8.6,
 50535,   8.3,   8.5,
 55109,   8.3,   8.6,
 60097,   8.3,   8.5,
 65536,   8.4,   8.5,
 71468,   8.3,   8.5,
 77936,   8.3,   8.6,
 84990,   8.3,   8.5,
 92682,   8.3,   8.6,
101070,   8.3,   8.6,
110218,   8.3,   8.6,
120194,   8.3,   8.5,
131072,   8.3,   8.2,
142935,   8.3,   8.6,
155872,   8.3,   8.5,
169979,   8.3,   8.6,
185364,   8.3,   8.6,
202141,   8.3,   8.6,
220436,   8.3,   8.6,
240387,   8.3,   8.6,
262144,   8.3,   8.5,
