ram_speed 0.03 (VC 1929/Win/asm:on)

test target: physical

Environment Info
OS : Windows 10 x64 (19043) [CP932]
CPU: Intel Core i7-7700K @ 4.20GHz (4C/8T)
RAM: Used 3550 MB, Total 7892 MB

Intel Core i7-7700K @ 4.20GHz (4C/8T)
CPU cores
  core  0   : **------
  core  1   : --**----
  core  2   : ----**--
  core  3   : ------**
CPU caches
  cache L1D : **------ :  8way     32KB
  cache L1I : **------ :  8way     32KB
  cache L1D : --**---- :  8way     32KB
  cache L1I : --**---- :  8way     32KB
  cache L1D : ----**-- :  8way     32KB
  cache L1I : ----**-- :  8way     32KB
  cache L1D : ------** :  8way     32KB
  cache L1I : ------** :  8way     32KB
  cache L2  : **------ :  4way    256KB
  cache L2  : --**---- :  4way    256KB
  cache L2  : ----**-- :  4way    256KB
  cache L2  : ------** :  4way    256KB
  cache L3  : ******** : 16way   8192KB

inter core latency (ns)
      ,     0  ,     1  ,     2  ,     3  
      4, 244.1, 538.8, 808.1,1077.6,
      5, 248.0, 538.7, 808.2,1077.6,
      5, 247.9, 506.1, 808.2,1077.5,
      6, 269.3, 538.8, 808.2,1077.5,
      6, 252.0, 513.5, 808.2,1077.5,
      7, 269.3, 446.4, 808.1,1077.6,
      7, 256.1, 538.8, 808.1,1077.6,
      8, 269.4, 538.8, 808.1,1077.6,
      9, 252.0, 495.9, 757.6,1077.5,
     10, 252.0, 495.9, 733.6,1077.5,
     10, 248.0, 517.3, 758.8,1077.5,
     11, 251.9, 499.9, 782.9,1077.5,
     12, 256.0, 521.3, 757.6,1031.3,
     13, 269.3, 521.3, 808.0, 935.9,
     15, 256.1, 508.0, 765.2, 985.2,
     16, 256.1, 512.3, 786.6,1077.6,
     17, 256.1, 503.9, 751.8,1056.0,
     19, 256.1, 499.9, 777.4,1055.9,
     21, 256.1, 504.0, 808.0,1055.9,
     23, 260.3, 503.8, 794.8,1077.3,
     25, 260.3, 512.0, 808.0,1059.9,
     27, 260.1, 512.0, 755.9,1059.9,
     29, 244.0, 525.3, 751.8,1077.3,
     32, 248.0, 512.3, 747.9,1051.1,
     35, 134.7, 512.2, 755.9,1030.7,
     38, 114.7, 512.1, 781.4,1003.7,
     41, 115.5, 516.4, 798.9,1020.3,
     45, 115.7, 516.4, 772.6,1007.6,
     49, 112.9, 520.4, 772.0,1077.1,
     54, 113.9, 520.1, 772.5,1063.8,
     59, 115.5, 520.5, 772.5,1063.8,
     64, 114.9, 500.0, 781.2,1028.9,
     70, 107.7, 267.0, 781.0,1032.9,
     76, 115.6, 232.2, 780.6,1032.8,
     83, 115.5, 231.0, 789.5,1037.1,
     91, 107.7, 228.9, 785.4,1041.3,
     99, 115.4, 229.1, 612.6,1045.2,
    108, 115.2, 225.4, 396.3,1044.7,
    117, 115.4, 228.6, 345.3,1049.5,
    128, 115.7, 227.3, 333.1,1050.5,
