ram_speed 0.03 (VC 1929/Win/asm:on)

test target: physical

Environment Info
OS : Windows 11 x64 (22000) [CP932]
CPU: AMD Ryzen 7 3700X 8-Core Processor [4.40GHz] (8C/16T)
RAM: Used 2458 MB, Total 8117 MB

AMD Ryzen 7 3700X 8-Core Processor [4.40GHz] (8C/16T)
CPU cores
  core  0   : **--------------
  core  1   : --**------------
  core  2   : ----**----------
  core  3   : ------**--------
  core  4   : --------**------
  core  5   : ----------**----
  core  6   : ------------**--
  core  7   : --------------**
CPU caches
  cache L1D : **-------------- :  8way     32KB
  cache L1I : **-------------- :  8way     32KB
  cache L1D : --**------------ :  8way     32KB
  cache L1I : --**------------ :  8way     32KB
  cache L1D : ----**---------- :  8way     32KB
  cache L1I : ----**---------- :  8way     32KB
  cache L1D : ------**-------- :  8way     32KB
  cache L1I : ------**-------- :  8way     32KB
  cache L1D : --------**------ :  8way     32KB
  cache L1I : --------**------ :  8way     32KB
  cache L1D : ----------**---- :  8way     32KB
  cache L1I : ----------**---- :  8way     32KB
  cache L1D : ------------**-- :  8way     32KB
  cache L1I : ------------**-- :  8way     32KB
  cache L1D : --------------** :  8way     32KB
  cache L1I : --------------** :  8way     32KB
  cache L2  : **-------------- :  8way    512KB
  cache L2  : --**------------ :  8way    512KB
  cache L2  : ----**---------- :  8way    512KB
  cache L2  : ------**-------- :  8way    512KB
  cache L2  : --------**------ :  8way    512KB
  cache L2  : ----------**---- :  8way    512KB
  cache L2  : ------------**-- :  8way    512KB
  cache L2  : --------------** :  8way    512KB
  cache L3  : ********-------- : 16way  16384KB
  cache L3  : --------******** : 16way  16384KB

inter core latency (ns)
      ,     0  ,     1  ,     2  ,     3  ,     4  ,     5  ,     6  ,     7  
  35734, 1.17, 19.95, 47.47
  38968, 1.16, 19.78, 50.56
  42495, 1.16, 19.86, 53.17
  46341, 1.16, 19.88, 55.63
  50535, 1.16, 19.88, 57.74
  55109, 1.16, 19.90, 59.71
  60097, 1.16, 19.90, 61.58
  65536, 1.16, 19.86, 63.27
  71468, 1.16, 19.93, 64.92
  77936, 1.15, 19.92, 66.29
  84990, 1.15, 19.91, 67.58
  92682, 1.15, 19.91, 68.78
 101070, 1.15, 19.92, 69.79
 110218, 1.15, 19.90, 70.86
 120194, 1.15, 19.90, 71.84
 131072, 1.15, 19.87, 72.81
 142935, 1.15, 19.91, 73.72
 155872, 1.15, 19.91, 74.73
 169979, 1.15, 19.92, 75.54
 185364, 1.15, 19.90, 82.74
 202141, 1.29, 23.10, 87.33
 220436, 1.23, 22.29, 85.68
 240387, 1.21, 21.35, 84.14
 262144, 1.21, 21.43, 86.31
 285870, 1.23, 22.39, 92.94
 311744, 1.32, 23.59, 91.59
 339959, 1.21, 20.62, 90.25
 370728, 1.33, 22.95, 87.75
 404281, 1.19, 20.75, 82.06
 440872, 1.15, 19.88, 82.32
 480774, 1.15, 19.84, 82.71
 524288, 1.15, 19.87, 83.09

read bandwidth (GB/s)
      4, 235.0, 516.5, 774.8,1030.9,1280.7,1536.9,1778.5,2032.5,
      4, 254.0, 512.3, 768.4,1024.6,1270.3,1536.9,1778.5,2032.5,
      5, 256.1, 512.3, 768.4,1024.6,1280.7,1524.4,1772.3,2016.1,
      5, 256.1, 508.1, 762.2,1016.2,1260.1,1512.1,1764.1,2032.5,
      6, 256.1, 512.3, 768.4,1024.6,1270.3,1524.4,1764.1,2016.1,
      6, 256.1, 508.1, 762.2,1008.1,1260.1,1512.1,1764.1,2016.1,
      7, 252.0, 508.1, 756.0,1008.1,1260.1,1512.1,1764.1,2016.1,
      7, 254.1, 508.1, 762.2,1008.1,1250.0,1512.1,1750.0,2016.1,
      8, 254.1, 506.1, 762.2,1008.1,1260.1,1512.1,1750.0,2000.0,
      9, 252.0, 508.1, 762.1,1008.1,1260.1,1500.0,1750.0,2000.0,
     10, 252.0, 508.1, 760.1,1008.0,1250.0,1500.0,1764.1,2016.1,
     10, 254.0, 506.0, 762.2,1000.0,1260.1,1500.0,1750.0,2000.0,
     11, 250.0, 504.0, 756.0,1008.0,1250.0,1512.1,1764.1,2016.1,
     12, 252.0, 504.0, 756.0,1014.2,1260.1,1500.0,1750.0,2016.1,
     13, 252.0, 504.0, 762.1,1008.0,1250.0,1512.1,1764.1,2016.1,
     15, 252.0, 506.1, 756.0,1008.0,1260.0,1512.1,1750.0,2016.1,
     16, 252.0, 508.1, 762.1,1008.1,1249.9,1500.0,1764.1,2014.1,
     17, 242.2, 481.7, 737.8,1008.0,1250.0,1512.0,1764.1,2000.0,
     19, 254.0, 504.0, 756.0,1008.0,1260.1,1499.9,1749.9,2004.5,
     21, 254.0, 503.9, 762.2, 999.9,1258.0,1506.0,1749.9,2010.0,
     23, 240.3, 504.0, 756.0,1008.0,1249.9,1502.0,1764.0,1999.9,
     25, 245.9, 503.9, 756.0, 999.9,1260.0,1512.0,1750.0,1999.9,
     27, 245.9, 508.1, 755.9,1008.0,1259.9,1499.8,1764.1,1999.9,
     29, 245.9, 490.4, 755.9,1008.0,1249.9,1512.0,1764.0,2016.1,
     32, 235.0, 504.0, 755.8,1008.1,1260.0,1499.8,1749.8,2000.0,
     35, 140.7, 480.7, 762.1,1007.9,1250.0,1499.9,1764.0,2016.0,
     38, 124.5, 508.0, 762.0,1007.9,1260.1,1501.9,1749.8,1999.8,
     41, 124.4, 492.3, 762.0,1016.0,1260.1,1500.0,1749.9,1999.8,
     45, 125.0, 488.9, 755.9,1007.9,1257.8,1500.0,1764.0,2013.9,
     49, 124.3, 482.6, 761.8,1007.9,1249.7,1512.1,1750.0,1999.9,
     54, 124.3, 491.9, 762.0,1008.0,1249.6,1501.6,1750.0,2016.1,
     59, 124.4, 491.8, 750.2, 980.8,1259.8,1501.7,1750.0,2000.0,
     64, 125.5, 473.5, 756.0,1008.1,1259.8,1499.6,1749.7,2000.0,
     70, 126.0, 281.5, 723.0, 961.3,1259.8,1503.8,1763.7,2015.9,
     76, 125.4, 249.4, 738.2,1015.9,1259.9,1499.7,1749.5,2015.9,
     83, 124.7, 250.3, 737.9, 992.4,1259.5,1499.7,1749.6,2015.6,
     91, 125.5, 250.4, 738.0, 988.2,1259.8,1511.8,1763.7,2009.7,
     99, 125.6, 250.1, 627.2, 847.8,1219.0,1499.3,1723.0,1999.6,
    108, 125.8, 249.7, 374.4, 983.7,1249.9,1511.7,1764.0,2015.9,
    117, 125.6, 250.4, 376.9, 991.3,1192.8,1490.0,1749.4,1948.2,
    128, 125.0, 251.5, 377.0, 936.4,1220.6,1511.9,1763.8,2016.1,
    140, 126.0, 252.0, 377.7, 560.6,1230.0,1425.9,1682.3,1907.9,
    152, 126.0, 250.9, 378.2, 499.8,1229.9,1464.7,1763.8,2015.4,
    166, 126.3, 251.5, 378.7, 499.6,1013.7,1464.3,1680.7,1972.8,
    181, 125.6, 252.0, 378.6, 500.9, 623.1,1475.9,1708.6,1986.2,
    197, 126.3, 251.4, 378.7, 500.8, 625.1,1242.9,1708.3,1952.3,
    215, 126.5, 251.5, 378.9, 502.4, 625.9, 748.4,1722.2,1952.1,
    235, 126.1, 252.2, 377.7, 502.3, 625.8, 748.2,1300.3,1967.1,
    256, 126.5, 252.0, 377.7, 503.0, 623.1, 746.0, 869.3,1853.7,
    279, 123.3, 252.0, 377.6, 499.8, 623.3, 746.9, 867.8,1132.2,
    304, 117.3, 238.5, 358.6, 481.8, 600.5, 730.2, 868.3, 993.2,
    332, 117.5, 240.5, 360.9, 481.0, 623.6, 748.3, 870.6, 996.3,
    362, 111.9, 239.8, 361.9, 497.5, 624.2, 729.9, 852.5, 994.8,
    395, 119.3, 240.6, 369.7, 490.6, 605.1, 745.1, 872.7,1001.6,
    431, 118.8, 240.1, 378.4, 483.3, 614.1, 749.2, 846.1, 995.3,
    470, 119.0, 241.9, 364.6, 484.4, 625.9, 730.2, 873.2, 997.5,
    512, 113.2, 244.9, 366.4, 490.1, 607.9, 737.3, 872.9, 999.0,
    558, 105.8, 252.8, 376.8, 501.5, 626.4, 752.2, 874.6, 999.5,
    609, 102.9, 252.6, 377.0, 501.8, 626.5, 751.1, 875.5,1000.0,
    664,  99.5, 252.3, 378.7, 502.0, 626.6, 751.9, 876.3,1001.0,
    724,  96.0, 252.3, 379.2, 502.1, 627.4, 752.1, 876.9,1001.3,
    790,  91.9, 249.1, 378.7, 502.3, 627.8, 752.4, 877.2,1001.5,
    861,  91.3, 244.2, 379.1, 502.0, 626.9, 752.3, 877.2,1001.8,
    939,  91.8, 240.4, 381.4, 504.7, 631.7, 753.5, 876.9, 996.4,
   1024,  91.6, 233.3, 379.0, 503.0, 627.2, 752.7, 878.8,1003.5,
   1117,  91.4, 217.7, 377.7, 502.1, 627.6, 754.0, 878.9,1003.6,
   1218,  91.0, 203.5, 375.3, 502.7, 627.6, 753.6, 879.5,1004.2,
   1328,  90.7, 181.5, 365.0, 502.5, 627.6, 754.4, 879.9,1004.5,
   1448,  91.3, 188.4, 362.3, 502.3, 628.2, 754.5, 879.6,1004.0,
   1579,  91.3, 184.9, 348.6, 502.7, 628.1, 753.7, 880.0,1004.0,
   1722,  91.0, 172.0, 323.0, 498.2, 629.3, 754.5, 879.5,1004.3,
   1878,  90.6, 184.6, 297.7, 489.7, 627.0, 753.8, 878.8,1005.6,
   2048,  90.8, 184.4, 284.7, 478.5, 559.9, 725.8, 876.9,1004.0,
   2233,  90.4, 184.1, 278.1, 401.5, 562.7, 739.8, 879.6,1004.9,
   2435,  90.4, 184.4, 276.2, 382.8, 568.9, 728.7, 875.9,1006.2,
   2656,  89.4, 184.5, 274.8, 344.8, 542.5, 704.9, 840.4, 984.0,
   2896,  89.9, 184.5, 272.9, 332.4, 522.4, 705.1, 850.0, 938.4,
   3158,  90.5, 184.0, 272.8, 331.6, 488.9, 668.7, 755.6, 864.0,
   3444,  90.1, 184.7, 272.9, 332.6, 465.9, 623.0, 758.2, 887.5,
   3756,  90.4, 181.8, 272.1, 321.0, 444.8, 584.9, 700.2, 880.7,
   4096,  90.6, 180.9, 272.3, 301.0, 429.4, 570.7, 706.9, 858.2,
   4467,  90.4, 181.8, 271.9, 299.5, 403.2, 539.1, 685.2, 802.3,
   4871,  90.8, 183.3, 271.9, 299.3, 397.5, 523.1, 640.8, 776.1,
   5312,  91.6, 183.9, 272.5, 298.5, 390.7, 504.8, 604.3, 707.4,
   5793,  91.5, 183.9, 272.5, 299.0, 389.9, 506.9, 587.8, 664.2,
   6317,  91.3, 184.0, 271.4, 299.2, 390.0, 483.9, 589.7, 661.2,
   6889,  91.6, 183.9, 271.9, 299.5, 388.5, 482.6, 583.1, 624.7,
   7512,  91.6, 183.7, 271.5, 299.4, 389.5, 482.9, 565.2, 613.0,
   8192,  91.4, 184.6, 272.3, 296.7, 388.4, 482.6, 563.5, 587.7,
   8933,  91.6, 185.2, 271.4, 298.7, 387.8, 484.5, 560.4, 584.6,
   9742,  91.1, 184.9, 271.9, 298.6, 387.8, 482.4, 563.1, 584.7,
  10624,  91.3, 184.2, 271.1, 297.6, 387.8, 482.3, 562.7, 584.5,
  11585,  91.3, 185.1, 271.7, 297.7, 388.1, 481.0, 561.9, 582.9,
  12634,  91.3, 185.1, 272.7, 298.6, 387.8, 483.2, 563.1, 585.2,
  13777,  91.2, 183.8, 272.1, 298.8, 387.9, 482.6, 563.8, 584.1,
  15024,  91.3, 182.5, 244.9, 299.3, 387.2, 482.7, 563.3, 585.4,
  16384,  66.2, 134.1, 205.0, 289.0, 389.9, 484.1, 564.1, 584.3,
  17867,  46.7, 129.0, 218.1, 257.1, 387.0, 482.2, 561.8, 585.0,
  19484,  38.3, 122.2, 200.2, 234.7, 356.7, 484.6, 562.9, 585.2,
  21247,  34.9, 120.3, 136.2, 218.8, 381.3, 481.4, 564.3, 584.5,
  23170,  31.7,  55.7, 134.5,  53.1, 348.9, 468.4, 565.8, 585.4,
  25268,  30.8,  46.3,  50.5,  50.3, 317.3, 475.5, 563.6, 585.6,
  27554,  29.3,  46.0,  50.0,  49.7, 185.9, 448.3, 535.4, 587.4,
  30048,  29.5,  44.3,  47.6,  46.6, 143.9, 412.4, 555.0, 582.2,
