ram_speed 0.01 (VC 1927/Win/asm:on)

Environment Info
OS : Windows 10 x64 (19042)
CPU: AMD Ryzen 9 5950X 16-Core Processor 
RAM: Used 3050 MB, Total 32713 MB

inter core latency
     6, 292.0, 573.6, 855.1,1124.4,1403.7,1733.5,1975.0,2262.2,
     7, 292.0, 568.2, 844.7,1128.8,1420.8,1712.8,1929.2,2260.4,
     7, 284.1, 573.6, 849.7,1131.4,1444.1,1720.4,1938.3,2241.0,
     8, 284.1, 571.1, 860.3,1134.3,1441.5,1690.1,1951.4,2211.3,
     9, 284.0, 573.5, 862.9,1144.7,1428.6,1710.5,1942.4,2211.3,
    10, 292.0, 568.2, 852.3,1144.6,1433.7,1702.2,1953.7,2220.5,
    10, 292.0, 576.1, 847.1,1126.4,1431.1,1702.7,1939.1,2214.0,
    11, 292.0, 584.1, 855.1,1146.9,1428.6,1705.0,2000.0,2209.2,
    12, 292.0, 565.6, 849.9,1149.5,1420.8,1697.4,1948.7,2234.5,
    13, 274.1, 563.0, 876.1,1133.9,1415.5,1720.5,1949.2,2220.3,
    15, 284.0, 570.9, 857.6,1128.7,1415.7,1694.5,1959.8,2197.3,
    16, 284.1, 576.1, 849.8,1131.5,1438.9,1694.9,1947.6,2251.4,
    17, 281.5, 570.7, 844.5,1141.9,1433.6,1710.0,1952.8,2200.9,
    19, 281.5, 576.1, 852.4,1131.4,1405.2,1707.6,1951.1,2189.4,
    21, 292.0, 565.5, 839.5,1128.8,1412.9,1692.0,1955.3,2214.0,
    23, 291.9, 573.5, 857.7,1133.7,1444.0,1699.8,1952.8,2208.7,
    25, 283.9, 573.5, 855.1,1128.9,1413.2,1712.6,1944.1,2192.5,
    27, 291.9, 566.1, 852.2,1131.4,1446.6,1712.7,1946.7,2216.4,
    29, 291.9, 568.0, 860.1,1136.5,1423.2,1704.7,1967.1,2183.7,
    32, 281.5, 576.1, 854.7,1129.0,1428.3,1689.0,1951.7,2202.3,
    35, 187.1, 584.0, 857.5,1131.3,1415.8,1710.0,1953.5,2193.1,
    38, 146.0, 560.4, 860.0,1141.6,1404.4,1691.9,1947.9,2212.7,
    41, 145.9, 573.4, 837.0,1141.5,1406.9,1725.6,1923.3,2185.0,
    45, 145.3, 583.9, 860.1,1128.5,1420.3,1693.7,1963.3,2195.6,
    49, 145.1, 562.8, 862.4,1128.5,1438.6,1662.0,1950.8,2252.5,
    54, 145.2, 575.8, 868.0,1103.8,1417.6,1709.7,1901.9,2177.8,
    59, 145.2, 583.7, 860.0,1125.8,1409.9,1704.5,1976.4,2199.6,
    64, 145.3, 560.5, 860.1,1126.1,1423.0,1706.9,1933.4,2111.0,
    70, 145.3, 365.7, 849.6,1125.9,1415.2,1691.7,1925.5,2192.3,
    76, 145.2, 292.0, 868.0,1118.2,1410.3,1712.3,1935.7,2194.4,
    83, 145.1, 291.2, 844.3,1144.0,1430.5,1697.1,1968.3,2196.5,
    91, 145.3, 290.6, 852.2,1151.7,1423.0,1720.2,1958.2,2185.1,
    99, 144.9, 290.3, 757.4,1108.9,1438.6,1704.0,1936.9,2204.5,
   108, 145.2, 290.3, 435.9,1123.0,1420.6,1699.2,1931.9,2146.3,
   117, 145.6, 290.6, 435.9,1140.9,1422.9,1712.2,1933.1,2203.0,
   128, 145.3, 290.7, 434.0,1121.1,1446.7,1709.9,1944.7,2210.2,
   140, 145.3, 290.6, 433.7, 724.8,1390.6,1709.4,1967.1,2186.2,
   152, 145.4, 290.5, 433.6, 578.5,1399.7,1711.4,1975.9,2169.0,
   166, 145.1, 290.1, 433.6, 577.6,1215.9,1629.4,1976.5,2194.4,
   181, 145.6, 290.6, 433.5, 578.6, 727.0,1675.4,1998.3,2252.6,
   197, 145.2, 290.0, 433.7, 577.9, 724.9,1493.9,1890.5,2169.2,
   215, 145.3, 290.1, 433.9, 578.0, 722.0, 890.2,1885.4,2218.4,
   235, 145.6, 290.5, 433.7, 578.4, 723.2, 864.4,1523.6,2168.2,
   256, 140.8, 289.4, 433.6, 578.7, 722.9, 864.0,1011.9,2153.7,
   279, 141.1, 289.4, 433.6, 578.4, 722.5, 863.3,1007.8,1422.7,
   304, 137.5, 290.4, 432.9, 578.4, 723.0, 863.1,1007.7,1154.4,
   332, 136.1, 290.1, 433.4, 577.5, 722.4, 863.3,1007.0,1151.2,
   362, 129.6, 289.6, 432.7, 578.6, 721.8, 863.2,1007.7,1151.8,
   395, 128.7, 290.4, 433.7, 577.3, 722.0, 863.3,1006.6,1150.5,
   431, 129.1, 289.9, 433.2, 577.5, 722.1, 867.1,1006.6,1150.7,
   470, 128.3, 286.5, 433.0, 576.9, 722.1, 863.4,1007.7,1151.5,
   512, 122.1, 282.8, 433.3, 578.7, 721.4, 863.3,1006.1,1151.4,
   558, 121.1, 278.3, 433.8, 578.4, 721.5, 863.2,1007.0,1151.5,
   609, 111.1, 283.1, 432.9, 578.1, 721.7, 862.5,1006.3,1150.9,
   664, 103.1, 282.9, 433.3, 577.5, 722.4, 862.8,1005.5,1149.8,
   724,  94.8, 275.4, 429.3, 578.2, 723.0, 861.3,1006.2,1151.8,
   790,  87.3, 277.0, 425.5, 578.2, 718.7, 863.3,1005.4,1149.2,
   861, 100.4, 269.7, 425.3, 578.2, 721.7, 862.6,1006.6,1149.6,
   939, 104.0, 250.8, 425.2, 572.7, 721.8, 862.3,1005.7,1148.9,
  1024, 115.3, 240.8, 416.0, 570.4, 722.0, 862.6,1005.5,1152.1,
  1117, 117.0, 236.7, 413.7, 571.9, 722.0, 863.7,1006.3,1148.7,
  1218, 118.4, 231.9, 404.7, 563.4, 718.1, 865.1,1006.3,1150.8,
  1328, 117.8, 232.9, 390.5, 561.2, 710.3, 865.2,1006.5,1149.8,
  1448, 118.7, 226.0, 375.7, 549.2, 711.8, 858.2,1006.5,1147.6,
  1579, 118.6, 227.9, 370.6, 521.7, 701.3, 826.8, 998.9,1138.1,
  1722, 118.7, 231.2, 358.3, 516.5, 684.6, 818.5, 988.3,1136.8,
  1878, 118.5, 231.6, 345.0, 506.7, 649.6, 834.7, 978.2,1144.4,
  2048, 118.8, 230.2, 340.7, 498.3, 643.7, 821.7, 975.7,1128.8,
  2233, 118.8, 230.5, 335.2, 476.6, 651.4, 809.5, 979.8,1101.1,
  2435, 118.9, 230.5, 332.6, 446.0, 621.0, 769.9, 948.5,1103.1,
  2656, 119.2, 231.1, 333.1, 435.1, 588.9, 764.8, 910.8,1095.4,
  2896, 118.7, 231.1, 340.2, 419.6, 551.6, 719.8, 889.9,1059.3,
  3158, 118.6, 231.3, 337.5, 413.7, 520.4, 672.4, 865.0,1024.5,
  3444, 119.2, 231.2, 338.2, 412.7, 476.6, 623.9, 812.2, 933.5,
  3756, 118.4, 231.1, 338.3, 424.4, 465.1, 571.8, 737.2, 868.3,
  4096, 118.8, 231.5, 338.0, 425.2, 468.5, 534.7, 681.7, 845.5,
  4467, 119.3, 231.2, 338.4, 439.3, 451.4, 514.6, 612.8, 756.1,
  4871, 119.6, 231.4, 338.7, 445.3, 453.9, 489.4, 551.2, 655.5,
  5312, 118.3, 231.1, 339.0, 447.4, 459.5, 495.2, 541.7, 609.6,
  5793, 105.4, 230.2, 339.1, 447.3, 475.8, 475.0, 514.3, 569.5,
  6317, 118.1, 230.4, 339.7, 446.3, 493.2, 481.3, 507.7, 538.1,
  6889, 117.8, 231.0, 339.0, 446.6, 504.8, 492.4, 511.6, 526.5,
  7512, 118.4, 230.2, 338.3, 446.6, 515.8, 496.1, 491.9, 506.7,
  8192, 118.4, 230.6, 339.3, 446.4, 521.1, 492.1, 492.6, 483.4,
  8933, 117.2, 230.7, 338.7, 446.3, 524.5, 502.0, 497.9, 487.4,
  9742, 118.1, 230.8, 339.1, 446.9, 534.2, 508.6, 494.6, 483.7,
 10624, 117.8, 230.3, 339.4, 446.6, 532.6, 505.2, 497.9, 482.7,
 11585, 118.2, 231.1, 339.1, 447.7, 524.0, 507.3, 489.9, 484.0,
 12634, 117.5, 230.8, 339.2, 173.9, 527.9, 513.6, 492.6, 485.1,
 13777, 119.4, 231.0, 339.8, 446.2, 544.4, 510.2, 497.1, 484.9,
 15024, 118.4, 232.0, 338.9, 447.3, 535.2, 508.3, 500.3, 485.4,
 16384, 118.4, 231.5, 340.3, 447.2, 540.1, 514.7, 497.7, 485.7,
 17867, 117.5, 227.2, 339.0, 448.4, 528.8, 509.0, 495.5, 486.2,
 19484, 118.4, 228.5, 335.4, 446.9, 529.8, 512.4, 488.5, 488.9,
 21247, 117.8, 220.3, 338.7, 448.2, 533.0, 511.6, 486.8, 482.6,
 23170, 106.2, 225.5, 336.1, 393.9, 516.3, 505.1, 482.4, 480.7,
 25268, 110.5, 210.5, 290.0, 429.9, 485.7, 490.0, 485.8, 477.9,
 27554,  89.9,  75.2, 281.2, 373.9, 425.3, 494.7, 486.1, 477.4,
 30048,  71.6, 171.2, 235.3, 324.5, 405.9, 474.5, 466.8, 464.2,
 32768,  69.9, 154.1, 212.9, 297.2, 329.4, 401.2, 423.2, 443.2,
 35734,  64.3, 130.2, 188.1, 230.7, 265.9, 329.0, 394.5, 365.4,
 38968,  62.9, 117.0, 151.1, 189.5, 229.5, 243.9, 322.3, 312.0,
 42495,  58.3, 108.1,  91.8, 144.2, 181.4, 238.4, 297.6, 243.5,
 46341,  54.5,  98.9, 119.6, 170.3, 144.4, 158.5, 181.7, 147.9,
 50535,  55.1,  90.2, 105.4, 163.2, 144.3, 142.3, 124.5, 122.2,
 55109,  52.2,  87.8,  94.9, 106.1, 140.8, 117.5, 112.8,  96.7,
 60097,  51.7,  82.6,  87.8,  99.0, 102.4, 105.9,  88.2,  84.1,
 65536,  49.1,  78.0,  48.8,  53.8,  95.9,  89.7,  89.2,  76.6,
 71468,  48.0,  74.2,  76.7,  75.1,  74.6,  73.4,  76.3,  71.3,
 77936,  47.1,  70.7,  72.6,  73.1,  70.6,  78.5,  68.6,  67.6,
 84990,  46.1,  67.6,  69.4,  67.7,  67.2,  75.7,  50.9,  64.2,
 92682,  43.8,  65.2,  66.3,  68.6,  67.3,  64.0,  62.8,  61.7,
101070,  43.6,  52.9,  63.9,  66.1,  65.5,  62.6,  60.3,  59.5,
110218,  43.6,  61.3,  61.8,  63.6,  61.8,  60.6,  58.4,  52.2,
120194,  42.2,  59.7,  59.8,  61.1,  60.4,  58.7,  56.9,  49.7,
131072,  41.2,  58.3,  58.5,  59.2,  58.3,  56.8,  54.9,  54.3,
142935,  41.1,  57.0,  57.8,  57.3,  56.7,  55.5,  53.3,  50.3,
155872,  41.2,  56.0,  56.8,  55.9,  55.4,  54.2,  52.3,  46.7,
169979,  40.9,  54.7,  55.1,  54.6,  53.8,  52.6,  47.9,  50.4,
185364,  40.1,  54.2,  54.3,  53.5,  52.7,  52.0,  45.6,  44.1,
202141,  40.0,  53.6,  48.7,  47.1,  47.2,  48.6,  38.4,  43.0,
220436,  36.9,  49.1,  52.7,  51.5,  50.1,  49.9,  44.5,  44.0,
240387,  39.2,  52.2,  52.1,  51.0,  50.4,  49.5,  43.2,  40.2,
262144,  38.4,  51.9,  51.4,  50.4,  49.8,  48.8,  44.3,  40.5,
285870,  39.0,  51.3,  51.1,  49.8,  49.2,  48.4,  44.3,  40.3,
311744,  38.1,  50.9,  50.6,  49.4,  48.7,  47.9,  44.2,  40.1,
339959,  37.9,  50.6,  50.1,  49.0,  48.2,  47.3,  44.2,  43.7,
370728,  37.9,  50.2,  49.8,  48.6,  43.6,  46.9,  44.3,  43.7,
404281,  38.0,  49.9,  49.0,  48.3,  47.6,  46.0,  44.2,  40.3,
440872,  38.1,  49.7,  49.2,  47.8,  47.3,  46.2,  43.9,  43.7,
480774,  37.7,  49.4,  48.9,  47.7,  47.1,  44.7,  44.3,  43.7,
524288,  37.8,  49.2,  48.6,  47.5,  46.2,  45.0,  44.3,  41.7,

write
     4, 147.4, 294.8, 438.1, 584.1, 730.1, 876.2,1022.2,1168.2,
     4, 147.4, 292.0, 438.1, 584.1, 730.1, 876.2,1022.2,1168.2,
     5, 147.4, 292.0, 438.1, 584.1, 730.1, 876.2,1022.2,1168.2,
     5, 147.4, 292.0, 438.1, 584.1, 730.1, 876.2,1022.2,1168.2,
     6, 147.4, 292.0, 438.1, 584.1, 730.1, 876.2,1022.2,1168.2,
     6, 147.4, 292.0, 438.1, 584.1, 730.1, 876.2,1022.2,1168.2,
     7, 146.0, 292.0, 438.1, 584.1, 730.1, 876.2,1022.2,1168.2,
     7, 147.4, 292.1, 438.0, 584.1, 730.1, 876.1,1022.2,1168.2,
     8, 146.0, 292.1, 438.0, 584.1, 730.1, 876.1,1022.2,1168.2,
     9, 147.4, 292.0, 438.1, 584.1, 730.1, 876.1,1022.2,1168.2,
    10, 146.0, 292.0, 438.1, 584.1, 730.1, 876.1,1022.1,1168.2,
    10, 147.4, 292.0, 438.1, 584.1, 730.1, 876.1,1022.1,1168.2,
    11, 146.0, 292.0, 438.1, 584.1, 730.1, 876.2,1022.2,1168.2,
    12, 145.9, 292.0, 438.0, 584.1, 730.1, 876.2,1022.2,1168.2,
    13, 146.0, 292.0, 438.0, 584.1, 730.1, 876.1,1022.2,1168.2,
    15, 146.0, 292.0, 438.0, 584.1, 730.1, 876.1,1022.2,1168.2,
    16, 147.4, 292.1, 438.0, 584.1, 730.1, 876.1,1022.1,1168.2,
    17, 147.4, 292.0, 438.0, 584.0, 730.1, 876.1,1022.1,1168.2,
    19, 147.4, 292.0, 438.0, 584.0, 730.1, 876.1,1022.1,1168.1,
    21, 147.4, 292.0, 438.0, 584.0, 730.1, 876.1,1022.1,1168.1,
    23, 147.3, 291.9, 438.0, 584.0, 730.0, 876.2,1022.2,1168.1,
    25, 147.3, 291.9, 438.0, 584.0, 730.0, 876.1,1022.2,1168.2,
