ram_speed 0.03 (gcc 9.4.0/Linux/asm:off)

test target: ecore

Environment Info
OS : Ubuntu 20.04.6 LTS (5.10.110-37-rockchip-g74457be0716d)
CPU: Cortex-A55x4 + Cortex-A76x4  (4P+4E,8C/8T)
RAM: Used 2407 MB, Total 7691 MB

Cortex-A55x4 + Cortex-A76x4  (4P+4E,8C/8T)
CPU cores
  core  0 E : *-------
  core  1 E : -*------
  core  2 E : --*-----
  core  3 E : ---*----
  core  4 P : ----*---
  core  5 P : -----*--
  core  6 P : ------*-
  core  7 P : -------*
CPU caches
  cache L1D : *------- :  4way     32KB
  cache L1I : *------- :  4way     32KB
  cache L1D : -*------ :  4way     32KB
  cache L1I : -*------ :  4way     32KB
  cache L1D : --*----- :  4way     32KB
  cache L1I : --*----- :  4way     32KB
  cache L1D : ---*---- :  4way     32KB
  cache L1I : ---*---- :  4way     32KB
  cache L1D : ----*--- :  4way     64KB
  cache L1I : ----*--- :  4way     64KB
  cache L1D : -----*-- :  4way     64KB
  cache L1I : -----*-- :  4way     64KB
  cache L1D : ------*- :  4way     64KB
  cache L1I : ------*- :  4way     64KB
  cache L1D : -------* :  4way     64KB
  cache L1I : -------* :  4way     64KB
  cache L2  : *------- :  4way    128KB
  cache L2  : -*------ :  4way    128KB
  cache L2  : --*----- :  4way    128KB
  cache L2  : ---*---- :  4way    128KB
  cache L2  : ----*--- :  8way    512KB
  cache L2  : -----*-- :  8way    512KB
  cache L2  : ------*- :  8way    512KB
  cache L2  : -------* :  8way    512KB
  cache L3  : ******** : 12way   3072KB

inter core latency (ns)
      ,     0 E,     1 E,     2 E,     3 E
   0 E,        ,   83.53,   87.16,   72.91
   1 E,   90.08,        ,   89.62,   68.31
   2 E,  111.49,  113.96,        ,   82.99
   3 E,  101.34,  117.95,   88.69,        

ram latency (ns)
, sequantial, cacheline forward2, full random
 155872, 2.36, 199.68, 258.82
 169979, 2.37, 199.72, 259.83
 185364, 2.36, 199.74, 260.66
 202141, 2.36, 199.81, 261.56
 220436, 2.37, 199.71, 262.33
 240387, 2.37, 199.64, 263.14
 262144, 2.36, 199.74, 263.83
 285870, 2.36, 199.71, 264.50
 311744, 2.37, 199.61, 265.32
 339959, 2.36, 199.69, 266.01
 370728, 2.36, 199.69, 266.66
 404281, 2.36, 199.62, 266.93
 440872, 2.36, 199.68, 267.51
 480774, 2.36, 199.71, 269.50
 524288, 2.36, 199.80, 268.96

read bandwidth (GB/s)
      4,  13.4,  26.8,  39.9,  53.0,
      4,  13.4,  26.8,  40.0,  53.0,
      5,  13.5,  26.8,  40.0,  53.1,
      5,  13.5,  26.8,  40.0,  53.2,
      6,  13.5,  26.9,  40.1,  53.2,
      6,  13.5,  26.9,  40.1,  53.3,
      7,  13.5,  26.9,  40.1,  53.3,
      7,  13.5,  26.9,  40.1,  53.4,
      8,  13.5,  26.9,  40.2,  53.4,
      9,  13.5,  26.9,  40.2,  53.4,
     10,  13.4,  26.9,  40.3,  53.5,
     10,  13.5,  26.9,  40.3,  53.5,
     11,  13.5,  26.9,  40.3,  53.6,
     12,  13.5,  26.9,  40.3,  53.6,
     13,  13.5,  26.9,  40.3,  53.6,
     15,  13.5,  26.9,  40.3,  53.7,
     16,  13.5,  26.9,  40.3,  53.7,
     17,  13.4,  26.9,  40.3,  53.7,
     19,  13.4,  26.9,  40.3,  53.7,
     21,  13.4,  27.0,  40.4,  53.7,
     23,  13.5,  26.9,  40.4,  53.7,
     25,  13.4,  27.0,  40.4,  53.7,
     27,  13.5,  27.0,  40.4,  53.8,
     29,  13.4,  27.0,  40.4,  53.8,
     32,  13.3,  27.0,  40.4,  53.8,
     35,  10.8,  26.9,  40.4,  53.8,
     38,   9.5,  26.9,  40.4,  53.8,
     41,   9.2,  26.9,  40.4,  53.8,
     45,   8.8,  26.9,  40.4,  53.8,
     49,   8.5,  26.9,  40.2,  53.8,
     54,   8.2,  26.9,  40.3,  53.8,
     59,   8.0,  26.9,  40.2,  53.8,
     64,   7.9,  26.7,  40.3,  53.8,
     70,   7.7,  21.5,  40.3,  53.6,
     76,   7.6,  19.0,  40.3,  53.7,
     83,   7.5,  18.4,  40.3,  53.7,
     91,   7.4,  17.6,  40.3,  53.7,
     99,   7.4,  17.0,  36.8,  53.7,
    108,   7.3,  16.5,  30.6,  53.7,
    117,   7.3,  16.1,  28.2,  53.7,
    128,   7.3,  15.7,  27.1,  53.3,
    140,   7.3,  15.4,  26.0,  42.9,
    152,   7.4,  15.2,  25.2,  38.0,
    166,   7.4,  15.0,  24.5,  36.7,
    181,   7.4,  14.8,  23.9,  35.1,
    197,   7.4,  14.7,  23.4,  33.9,
    215,   7.4,  14.6,  23.0,  32.9,
    235,   7.4,  14.6,  22.6,  32.1,
    256,   7.4,  14.7,  22.3,  31.3,
    279,   7.4,  14.6,  22.1,  30.8,
    304,   7.4,  14.8,  21.9,  30.3,
    332,   7.4,  14.8,  21.8,  29.8,
    362,   7.4,  14.8,  21.9,  29.5,
    395,   7.4,  14.9,  22.0,  29.2,
    431,   7.4,  14.8,  22.1,  29.1,
    470,   7.4,  14.8,  22.1,  29.1,
    512,   7.4,  14.9,  22.2,  29.2,
    558,   7.4,  14.8,  22.2,  29.3,
    609,   7.4,  14.9,  22.2,  29.4,
    664,   7.4,  14.8,  22.2,  29.5,
    724,   7.4,  14.9,  22.2,  29.5,
    790,   7.4,  14.9,  22.2,  29.5,
    861,   7.5,  14.8,  22.2,  29.5,
    939,   7.5,  14.9,  22.2,  29.5,
   1024,   7.5,  14.9,  22.2,  29.5,
   1117,   7.5,  14.9,  22.2,  29.5,
   1218,   7.5,  14.8,  22.1,  29.5,
   1328,   6.9,  14.9,  22.2,  29.4,
   1448,   7.4,  14.8,  21.1,  29.3,
   1579,   6.8,  13.8,  22.1,  29.2,
   1722,   7.4,  13.7,  21.0,  28.2,
   1878,   6.3,  13.6,  20.9,  28.2,
   2048,   6.3,  13.6,  21.1,  28.1,
   2233,   6.3,  13.6,  20.8,  28.3,
   2435,   6.0,  12.6,  19.1,  27.2,
   2656,   5.8,  11.5,  19.3,  25.9,
   2896,   5.1,  10.8,  17.2,  22.6,
   3158,   4.7,  10.1,  15.4,  19.5,
   3444,   4.5,   9.3,  14.0,  19.2,
   3756,   4.6,   8.8,  12.2,  25.5,
   4096,   6.5,   7.7,  11.2,  24.5,
   4467,   6.0,  10.7,  14.9,  18.3,
   4871,   5.4,   9.9,  18.5,  23.9,
   5312,   5.4,  10.1,  13.6,  23.4,
   5793,   5.1,   9.5,  17.5,  22.4,
   6317,   5.2,   9.9,  13.5,  21.7,
   6889,   4.7,   8.6,  11.0,  20.9,
   7512,   5.3,  12.9,  19.0,  23.6,
   8192,   4.8,   8.9,  17.1,  20.8,
   8933,   6.0,  11.8,  17.0,  20.5,
   9742,   6.0,  11.7,  16.9,  20.2,
  10624,   6.0,  10.4,  14.5,  20.2,
  11585,   6.2,  11.7,  14.1,  19.9,
  12634,   6.0,  11.7,  16.8,  19.7,
  13777,   6.0,  11.7,  16.6,  19.5,
  15024,   5.9,  10.7,  14.5,  19.3,
  16384,   5.9,  10.4,  14.3,  19.7,
  17867,   6.0,  11.8,  16.7,  19.7,
  19484,   6.0,  11.8,  16.6,  19.3,
  21247,   4.7,  11.6,  16.3,  18.9,
  23170,   6.2,  10.1,  13.4,  17.9,
  25268,   5.6,  10.8,  15.4,  17.9,
  27554,   5.6,  10.8,  15.3,  17.9,
  30048,   5.6,  10.1,  15.1,  17.5,
