ram_speed 0.03 (VC 1929/Win/asm:on)

test target: physical

Environment Info
OS : Windows 10 x64 (19044) [CP932]
CPU: Intel Core i3-4170 @ 3.70GHz (2C/4T)
RAM: Used 2234 MB, Total 7885 MB

Intel Core i3-4170 @ 3.70GHz (2C/4T)
CPU cores
  core  0   : **--
  core  1   : --**
CPU caches
  cache L1D : **-- :  8way     32KB
  cache L1I : **-- :  8way     32KB
  cache L1D : --** :  8way     32KB
  cache L1I : --** :  8way     32KB
  cache L2  : **-- :  8way    256KB
  cache L2  : --** :  8way    256KB
  cache L3  : **** : 12way   3072KB

inter core latency (ns)
      ,     0  ,     1  
   0  ,    7.65,   19.26
   1  ,   19.09,    7.65

ram latency (ns)
, sequantial, cacheline forward2, full random
     21, 211.1, 405.8,
     23, 211.0, 411.0,
     25, 210.7, 411.0,
     27, 210.9, 416.2,
     29, 210.6, 410.8,
     32, 195.3, 411.2,
     35,  91.9, 422.2,
     38,  81.9, 422.2,
     41,  84.7, 421.9,
     45,  82.2, 422.1,
     49,  82.0, 427.5,
     54,  81.9, 421.7,
     59,  81.7, 421.2,
     64,  82.2, 390.6,
     70,  81.4, 182.7,
     76, 101.4, 164.8,
     83,  81.7, 162.4,
     91, 104.1, 162.7,
     99,  81.5, 162.3,
    108, 100.3, 157.1,
    117,  82.3, 157.3,
    128,  83.1, 185.0,
    140,  86.0, 162.7,
    152,  87.6, 162.1,
    166,  87.2, 164.2,
    181,  91.6, 184.1,
    197,  94.2, 163.6,
    215,  96.4, 164.2,
    235,  94.1, 164.5,
    256,  78.9, 177.2,
    279,  49.6, 189.9,
    304,  44.4, 175.9,
    332,  44.2, 175.3,
    362,  44.2, 188.6,
    395,  44.3, 188.4,
    431,  44.4, 187.1,
    470,  44.3, 187.0,
    512,  44.4, 155.6,
    558,  44.4, 107.0,
    609,  44.2,  88.8,
    664,  44.4,  88.4,
    724,  44.2,  88.4,
    790,  44.3,  87.9,
    861,  44.3,  88.2,
    939,  44.2,  88.6,
   1024,  44.4,  74.2,
