ram_speed 0.03 (VC 1929/Win/asm:on)

test target: physical

Environment Info
OS : Windows 10 x64 (19044) [CP932]
CPU: Intel Core i3-4170 @ 3.70GHz (2C/4T)
RAM: Used 2234 MB, Total 7885 MB

Intel Core i3-4170 @ 3.70GHz (2C/4T)
CPU cores
  core  0   : **--
  core  1   : --**
CPU caches
  cache L1D : **-- :  8way     32KB
  cache L1I : **-- :  8way     32KB
  cache L1D : --** :  8way     32KB
  cache L1I : --** :  8way     32KB
  cache L2  : **-- :  8way    256KB
  cache L2  : --** :  8way    256KB
  cache L3  : **** : 12way   3072KB

inter core latency (ns)
      ,     0  ,     1  
   0  ,    7.65,   19.26
   1  ,   19.09,    7.65

ram latency (ns)
, sequantial, cacheline forward2, full random
      4, 111.6, 177.8,
      4, 111.6, 223.2,
      5, 111.6, 223.2,
      5, 111.5, 223.2,
      6, 111.5, 223.2,
      6, 111.6, 223.2,
      7, 111.6, 223.2,
      7, 108.5, 223.2,
      8, 111.6, 223.2,
      9, 111.6, 223.2,
     10, 111.4, 223.2,
     10, 111.6, 223.1,
     11, 111.6, 223.0,
     12, 111.4, 223.1,
     13, 111.5, 223.2,
     15, 111.6, 223.2,
     16, 111.6, 223.2,
     17, 111.6, 223.0,
     19, 111.6, 216.8,
     21, 111.6, 223.2,
     23, 111.6, 223.1,
     25, 111.0, 222.8,
     27, 111.1, 222.9,
     29, 110.9, 223.0,
     32, 111.6, 223.2,
     35,  44.4, 223.2,
     38,  35.4, 222.9,
     41,  35.3, 222.7,
     45,  35.2, 223.1,
     49,  35.2, 222.5,
     54,  35.1, 222.2,
     59,  35.3, 221.9,
     64,  35.2, 223.2,
     70,  35.2,  89.3,
     76,  35.2,  78.0,
     83,  35.3,  69.9,
     91,  35.2,  70.4,
     99,  35.2,  70.4,
    108,  35.3,  70.2,
    117,  35.3,  70.5,
    128,  35.2,  70.4,
    140,  35.2,  70.4,
    152,  35.3,  70.1,
    166,  35.2,  70.5,
    181,  34.9,  70.5,
    197,  35.2,  70.2,
    215,  35.2,  70.1,
    235,  35.3,  70.6,
    256,  34.6,  70.4,
    279,  31.1,  70.3,
    304,  28.6,  70.6,
    332,  26.9,  70.4,
    362,  26.0,  70.4,
    395,  25.8,  70.4,
    431,  25.9,  70.4,
    470,  25.8,  70.6,
    512,  25.9,  68.5,
    558,  25.9,  62.1,
    609,  25.8,  56.3,
    664,  25.8,  53.1,
    724,  25.8,  51.7,
    790,  25.8,  51.3,
    861,  25.9,  51.3,
    939,  25.8,  51.6,
   1024,  25.9,  51.4,
   1117,  25.8,  51.4,
   1218,  25.8,  51.2,
   1328,  25.8,  42.5,
   1448,  25.8,  51.5,
   1579,  25.7,  51.2,
   1722,  25.9,  50.7,
   1878,  24.4,  50.6,
   2048,  25.9,  51.4,
   2233,  20.9,  51.3,
   2435,  25.8,  39.2,
   2656,  25.3,  43.7,
   2896,  25.3,  33.0,
   3158,  22.8,  29.9,
   3444,  20.4,  34.8,
   3756,  18.7,  29.6,
   4096,  18.7,  24.5,
   4467,  16.8,  21.7,
   4871,  16.4,  20.3,
   5312,  15.4,  19.4,
   5793,  15.1,  17.5,
   6317,  14.5,  17.3,
   6889,  14.1,  16.5,
   7512,  13.8,  15.5,
   8192,  13.6,  14.8,
   8933,  13.3,  14.5,
   9742,  13.0,  13.6,
