inter core latency
  7512, 1.34, 2.52, 4.37, 15.78, 1.51
  8192, 1.39, 5.95, 6.99, 20.47, 1.44
  8933, 1.46, 8.01, 13.71, 26.73, 1.44
  9742, 1.35, 8.84, 21.07, 33.91, 1.34
 10624, 1.49, 9.14, 20.80, 39.11, 1.49
 11585, 1.35, 8.89, 20.82, 44.66, 1.35
 12634, 1.38, 8.92, 21.55, 49.90, 1.37
 13777, 1.47, 9.12, 20.71, 54.47, 1.46
 15024, 1.47, 8.92, 21.44, 59.03, 1.50
 16384, 1.52, 9.01, 20.76, 62.51, 1.45
 17867, 1.48, 9.16, 20.79, 66.44, 1.43
 19484, 1.46, 9.20, 21.40, 68.20, 1.46
 21247, 1.42, 9.28, 21.43, 69.21, 1.49
 23170, 1.51, 8.99, 21.40, 74.83, 1.42
 25268, 1.44, 8.98, 20.66, 74.90, 1.47
 27554, 1.48, 8.97, 21.03, 80.32, 1.42
 30048, 1.49, 8.95, 20.78, 79.71, 1.43
 32768, 1.45, 8.98, 20.64, 84.85, 1.46
 35734, 1.44, 8.95, 20.83, 86.32, 1.42
 38968, 1.43, 8.99, 21.39, 88.37, 1.43
 42495, 1.44, 9.00, 21.39, 90.25, 1.42
 46341, 1.41, 8.96, 20.69, 91.58, 1.41
 50535, 1.38, 8.99, 21.40, 92.89, 1.42
 55109, 1.44, 9.23, 21.59, 94.56, 1.38
 60097, 1.40, 9.25, 21.56, 95.35, 1.41
 65536, 1.40, 8.97, 21.47, 97.09, 1.36
 71468, 1.38, 8.99, 21.51, 97.46, 1.39
 77936, 1.41, 8.94, 20.73, 99.29, 1.38
 84990, 1.36, 8.96, 21.47, 99.93, 1.39
 92682, 1.39, 9.00, 21.47, 100.59, 1.39
101070, 1.39, 9.20, 21.51, 102.20, 1.40
110218, 1.37, 8.95, 21.60, 102.44, 1.38
120194, 1.37, 9.31, 21.45, 103.03, 1.37
131072, 1.37, 8.98, 21.42, 103.27, 1.37
142935, 1.38, 9.15, 21.41, 104.03, 1.38
155872, 1.39, 9.25, 21.44, 104.50, 1.38
169979, 1.38, 8.88, 20.54, 103.89, 1.38
185364, 1.37, 9.23, 21.34, 105.31, 1.37
202141, 1.39, 9.22, 21.28, 107.30, 1.37
220436, 1.37, 8.91, 21.01, 107.55, 1.36
240387, 1.36, 9.24, 21.30, 107.57, 1.38
262144, 1.36, 9.16, 21.31, 108.12, 1.36

read
     4,  95.3, 190.5, 285.8, 381.1, 476.4, 571.6, 666.9, 762.2,
     4,  95.3, 171.5, 266.8, 362.0, 476.4, 571.6, 666.9, 762.2,
     5,  95.3, 171.5, 266.8, 362.0, 476.4, 571.6, 666.9, 762.2,
     5,  95.3, 171.5, 266.8, 362.0, 476.4, 571.6, 666.9, 762.2,
     6,  95.3, 171.5, 266.8, 362.0, 476.4, 571.6, 666.9, 762.2,
     6,  95.3, 171.5, 266.8, 362.0, 476.4, 571.6, 666.9, 762.2,
     7,  90.3, 171.5, 266.8, 362.0, 476.4, 571.6, 666.9, 762.2,
     7,  90.8, 171.5, 266.8, 362.0, 476.4, 571.6, 666.9, 762.2,
     8,  86.8, 190.5, 266.8, 362.0, 476.4, 571.6, 666.9, 762.2,
     9,  91.6, 171.5, 266.8, 362.0, 476.4, 571.6, 666.9, 762.2,
    10,  91.6, 171.5, 266.8, 362.0, 476.4, 571.6, 666.9, 762.2,
    10,  91.6, 171.5, 266.8, 362.0, 476.4, 571.6, 666.9, 762.2,
