ram_speed 0.03 (VC 1929/Win/asm:on)

test target: physical

Environment Info
OS : Windows 11 x64 (22000) [CP932]
CPU: 11th Gen Intel Core i7-11700K @ 3.60GHz [TB: 4.92GHz] (8C/16T)
RAM: Used 3369 MB, Total 16181 MB

11th Gen Intel Core i7-11700K @ 3.60GHz [TB: 4.92GHz] (8C/16T)
CPU cores
  core  0   : **--------------
  core  1   : --**------------
  core  2   : ----**----------
  core  3   : ------**--------
  core  4   : --------**------
  core  5   : ----------**----
  core  6   : ------------**--
  core  7   : --------------**
CPU caches
  cache L1D : **-------------- : 12way     48KB
  cache L1I : **-------------- :  8way     32KB
  cache L1D : --**------------ : 12way     48KB
  cache L1I : --**------------ :  8way     32KB
  cache L1D : ----**---------- : 12way     48KB
  cache L1I : ----**---------- :  8way     32KB
  cache L1D : ------**-------- : 12way     48KB
  cache L1I : ------**-------- :  8way     32KB
  cache L1D : --------**------ : 12way     48KB
  cache L1I : --------**------ :  8way     32KB
  cache L1D : ----------**---- : 12way     48KB
  cache L1I : ----------**---- :  8way     32KB
  cache L1D : ------------**-- : 12way     48KB
  cache L1I : ------------**-- :  8way     32KB
  cache L1D : --------------** : 12way     48KB
  cache L1I : --------------** :  8way     32KB
  cache L2  : **-------------- :  8way    512KB
  cache L2  : --**------------ :  8way    512KB
  cache L2  : ----**---------- :  8way    512KB
  cache L2  : ------**-------- :  8way    512KB
  cache L2  : --------**------ :  8way    512KB
  cache L2  : ----------**---- :  8way    512KB
  cache L2  : ------------**-- :  8way    512KB
  cache L2  : --------------** :  8way    512KB
  cache L3  : **************** : 16way  16384KB

inter core latency (ns)
      ,     0  ,     1  ,     2  ,     3  ,     4  ,     5  ,     6  ,     7  
  35734, 1.03, 9.52, 41.18
  38968, 1.03, 10.13, 42.94
  42495, 1.03, 9.73, 44.48
  46341, 1.03, 9.98, 46.10
  50535, 1.03, 9.92, 47.40
  55109, 1.03, 10.19, 48.63
  60097, 1.03, 10.22, 49.88
  65536, 1.03, 10.24, 50.90
  71468, 1.03, 10.34, 52.15
  77936, 1.03, 10.35, 53.28
  84990, 1.03, 10.40, 54.59
  92682, 1.03, 10.56, 55.52
 101070, 1.03, 10.70, 56.33
 110218, 1.03, 10.61, 57.32
 120194, 1.04, 10.79, 58.35
 131072, 1.03, 10.69, 59.35
 142935, 1.03, 10.75, 60.00
 155872, 1.03, 10.77, 60.78
 169979, 1.03, 10.78, 61.52
 185364, 1.03, 10.83, 62.30
 202141, 1.03, 10.85, 68.91
 220436, 1.05, 11.49, 69.14
 240387, 1.07, 11.55, 65.59
 262144, 1.04, 11.28, 64.95
 285870, 1.03, 10.99, 65.45
 311744, 1.03, 10.95, 65.90
 339959, 1.03, 10.96, 66.35
 370728, 1.03, 11.03, 69.21
 404281, 1.04, 11.44, 70.07
 440872, 1.08, 11.29, 67.69
 480774, 1.04, 11.05, 68.31
 524288, 1.03, 11.02, 68.25

read bandwidth (GB/s)
      4, 589.6,1179.2,1768.8,2358.5,2840.9,3409.1,3837.7,4386.0,
      4, 589.6,1179.2,1768.8,2358.5,2840.9,3289.5,3837.7,4386.0,
      5, 589.6,1179.2,1768.8,2272.7,2840.9,3409.1,3837.7,4386.0,
      5, 589.5,1179.2,1768.9,2358.5,2840.9,3409.1,3837.7,4376.5,
      6, 589.6,1179.2,1768.9,2358.5,2840.9,3409.1,3837.7,4386.0,
      6, 589.6,1179.2,1768.9,2358.5,2840.9,3409.1,3837.7,4386.0,
      7, 589.6,1179.2,1757.9,2272.7,2840.9,3409.1,3837.7,4386.0,
      7, 589.6,1179.2,1768.8,2358.5,2840.9,3409.1,3837.7,4386.0,
      8, 568.2,1179.2,1768.8,2272.7,2840.9,3289.4,3837.7,4386.0,
      9, 589.5,1179.1,1768.8,2272.7,2840.9,3289.4,3837.7,4385.9,
     10, 568.0,1136.3,1768.8,2272.7,2840.9,3289.4,3837.7,4385.9,
     10, 529.5,1179.1,1768.8,2358.4,2840.9,3409.1,3837.7,4385.9,
     11, 548.2,1179.1,1768.8,2358.4,2840.9,3409.1,3837.7,4385.9,
     12, 578.6,1179.2,1768.8,2358.4,2840.9,3409.1,3837.7,4385.9,
     13, 538.7,1179.2,1768.7,2358.4,2840.8,3409.1,3837.7,4385.9,
     15, 538.7,1179.2,1768.7,2358.5,2840.7,3409.0,3837.7,4385.9,
     16, 548.2,1179.2,1768.7,2358.5,2840.8,3409.0,3837.7,4386.0,
     17, 557.9,1179.1,1768.7,2358.3,2840.8,3408.9,3837.7,4385.9,
     19, 548.1,1168.1,1768.8,2358.3,2840.9,3408.9,3837.6,4310.3,
     21, 557.9,1050.2,1768.8,2358.2,2840.8,3409.0,3837.5,4385.8,
     23, 557.8,1068.3,1768.8,2264.7,2840.6,3289.4,3837.6,4385.7,
     25, 557.7,1068.3,1768.8,2272.6,2840.6,3409.0,3837.6,4385.7,
     27, 538.5,1033.0,1683.8,2272.6,2840.5,3289.1,3837.7,4385.8,
     29, 557.6,1086.7,1708.6,2358.4,2840.7,3408.8,3837.5,4385.9,
     32, 538.8,1050.5,1588.6,2358.5,2840.8,3289.1,3837.3,4386.0,
     35, 538.7,1050.2,1554.3,2252.1,2840.8,3289.2,3837.4,4310.0,
