ram_speed 0.03 (VC 1929/Win/asm:on)

test target: physical

Environment Info
OS : Windows 11 x64 (22621) [CP932]
CPU: AMD Ryzen 3 3200G with Radeon Vega Graphics [3.20GHz] (4C/4T)
RAM: Used 3883 MB, Total 7857 MB

AMD Ryzen 3 3200G with Radeon Vega Graphics [3.20GHz] (4C/4T)
CPU cores
  core  0   : *---
  core  1   : -*--
  core  2   : --*-
  core  3   : ---*
CPU caches
  cache L1D : *--- :  8way     32KB
  cache L1I : *--- :  4way     64KB
  cache L1D : -*-- :  8way     32KB
  cache L1I : -*-- :  4way     64KB
  cache L1D : --*- :  8way     32KB
  cache L1I : --*- :  4way     64KB
  cache L1D : ---* :  8way     32KB
  cache L1I : ---* :  4way     64KB
  cache L2  : *--- :  8way    512KB
  cache L2  : -*-- :  8way    512KB
  cache L2  : --*- :  8way    512KB
  cache L2  : ---* :  8way    512KB
  cache L3  : **** : 16way   4096KB

inter core latency (ns)
      ,     0  ,     1  ,     2  ,     3  
      4, 114.0, 226.4, 317.3, 417.5,
      5, 114.0, 227.3, 339.7, 453.0,
      5, 114.0, 226.4, 339.7, 415.9,
      6, 114.0, 226.4, 320.6, 415.9,
      6, 114.0, 226.4, 317.8, 415.1,
      7, 107.7, 204.1, 303.6, 395.7,
      7, 108.5, 226.4, 317.3, 392.8,
      8, 108.5, 226.4, 317.3, 430.5,
      9, 109.2, 226.4, 319.5, 414.5,
     10, 109.2, 227.2, 339.7, 418.3,
     10, 110.0, 227.2, 339.7, 430.5,
     11, 110.0, 228.0, 317.3, 415.1,
     12, 110.0, 227.2, 317.3, 447.4,
     13, 110.8, 221.8, 318.0, 430.5,
     15, 110.8, 217.0, 327.8, 415.2,
     16, 110.8, 217.0, 318.0, 415.2,
     17, 111.6, 222.4, 339.6, 432.9,
     19, 111.6, 218.5, 318.0, 415.1,
     21, 111.6, 218.5, 322.5, 417.1,
     23, 111.6, 220.0, 303.3, 415.8,
     25, 111.5, 218.4, 334.9, 442.0,
     27, 112.3, 220.0, 305.7, 404.1,
     29, 112.3, 220.0, 326.2, 401.3,
     32, 111.6, 221.6, 305.7, 398.2,
     35, 106.3, 223.2, 307.7, 408.3,
     38, 104.7, 223.1, 310.3, 415.4,
     41, 105.4, 223.2, 310.3, 403.0,
     45, 106.3, 223.1, 310.4, 402.9,
     49, 106.0, 223.0, 331.3, 403.6,
     54, 104.7, 224.5, 311.9, 420.5,
     59, 105.3, 224.7, 312.4, 405.9,
     64, 106.3, 223.2, 311.5, 406.5,
     70, 106.3, 211.1, 312.9, 408.8,
     76, 105.5, 208.2, 312.5, 409.4,
     83, 105.4, 210.7, 314.3, 409.1,
     91, 107.0, 209.7, 314.2, 409.4,
     99, 106.7, 210.5, 309.3, 410.4,
    108, 106.5, 211.6, 292.5, 418.5,
    117, 106.7, 210.9, 297.8, 411.6,
    128, 105.6, 211.2, 314.3, 446.4,
    140, 107.0, 210.4, 296.4, 390.5,
    152, 105.1, 210.8, 293.0, 382.7,
    166, 107.0, 211.5, 295.7, 383.9,
    181, 107.4, 211.1, 294.3, 387.0,
    197, 107.3, 212.1, 295.6, 384.4,
    215, 107.0, 210.4, 296.0, 388.5,
    235, 107.4, 209.8, 295.9, 365.4,
    256, 107.8, 211.1, 296.7, 387.0,
    279, 108.1, 212.2, 317.8, 389.3,
    304, 109.9, 210.7, 295.8, 385.2,
    332, 108.5, 211.1, 317.3, 420.0,
    362, 110.3, 210.9, 316.1, 399.2,
    395, 107.3, 213.0, 315.6, 389.3,
    431, 105.5, 212.5, 316.4, 398.5,
    470,  97.7, 210.4, 319.3, 399.9,
    512,  95.3, 211.2, 310.9, 381.4,
    558,  88.3, 205.3, 287.8, 381.3,
    609,  81.2, 208.9, 272.3, 377.5,
    664,  77.5, 217.8, 287.1, 388.3,
    724,  77.6, 218.2, 320.0, 395.1,
    790,  76.9, 216.0, 300.0, 378.0,
    861,  77.3, 206.8, 296.1, 381.6,
    939,  77.7, 199.8, 286.1, 367.9,
   1024,  77.4, 191.7, 291.7, 394.6,
   1117,  77.3, 176.0, 300.0, 394.5,
   1218,  77.4, 161.5, 297.2, 396.2,
   1328,  77.5, 152.7, 315.2, 398.9,
   1448,  77.1, 153.1, 302.2, 410.3,
   1579,  77.2, 153.3, 252.8, 396.3,
   1722,  80.8, 152.6, 251.0, 382.5,
   1878,  80.1, 151.1, 213.8, 377.0,
   2048,  77.7, 152.8, 215.3, 353.0,
   2233,  77.3, 157.0, 208.1, 300.7,
   2435,  77.4, 143.6, 228.1, 318.0,
   2656,  77.5, 152.0, 215.0, 287.7,
   2896,  78.5, 151.9, 201.4, 244.8,
   3158,  78.0, 151.7, 198.5, 214.0,
   3444,  78.7, 158.1, 197.6, 208.1,
   3756,  76.6, 152.0, 197.2, 199.9,
   4096,  51.9, 148.3, 207.1, 192.9,
   4467,  33.6,  97.0, 180.8, 193.0,
   4871,  27.5,  62.9, 142.2, 192.8,
   5312,  24.0, 100.4,  92.3, 178.3,
   5793,  22.8,  98.3, 122.5, 117.9,
   6317,  22.9,  35.8,  55.5, 131.9,
   6889,  22.9,  34.6, 113.0, 101.9,
   7512,  22.9,  34.3,  34.9,  37.9,
   8192,  22.8,  33.9,  33.8,  32.9,
   8933,  22.8,  34.4,  34.1,  32.3,
   9742,  22.8,  34.0,  33.7,  32.3,
  10624,  22.9,  33.9,  34.3,  32.3,
  11585,  22.9,  34.2,  33.8,  32.3,
  12634,  22.9,  34.3,  34.3,  32.3,
  13777,  22.8,  34.4,  34.3,  32.2,
  15024,  22.9,  34.4,  34.1,  32.3,
  16384,  22.8,  34.5,  34.2,  32.3,
  17867,  22.7,  34.0,  34.1,  32.3,
  19484,  22.7,  33.8,  33.7,  32.3,
  21247,  22.7,  33.9,  33.6,  32.3,
  23170,  22.7,  33.8,  33.7,  32.2,
  25268,  22.7,  33.9,  34.0,  32.3,
  27554,  22.7,  34.0,  33.8,  32.3,
  30048,  22.7,  33.8,  34.0,  32.3,
  32768,  22.7,  33.9,  34.1,  32.2,
  35734,  22.7,  33.9,  34.1,  32.3,
  38968,  22.6,  33.7,  34.0,  32.3,
  42495,  22.5,  33.8,  34.0,  32.3,
  46341,  22.5,  33.8,  33.7,  32.3,
  50535,  22.5,  33.9,  33.8,  32.4,
  55109,  22.5,  33.8,  33.5,  32.3,
  60097,  22.4,  33.8,  33.8,  32.3,
  65536,  22.5,  33.9,  33.7,  32.4,
  71468,  22.4,  33.8,  33.7,  32.4,
  77936,  22.4,  33.8,  33.7,  32.4,
  84990,  22.5,  33.7,  33.5,  32.4,
  92682,  22.4,  33.7,  33.7,  32.4,
 101070,  22.5,  33.7,  33.7,  32.4,
 110218,  22.4,  33.8,  33.6,  32.4,
 120194,  22.4,  33.7,  33.6,  32.5,
 131072,  22.2,  33.7,  33.6,  32.4,
 142935,  22.4,  33.7,  33.6,  32.4,
 155872,  22.4,  33.7,  33.5,  32.5,
 169979,  22.4,  33.7,  33.5,  32.4,
 185364,  22.4,  33.7,  33.6,  32.5,
 202141,  22.4,  33.7,  33.5,  32.4,
 220436,  22.4,  33.7,  33.5,  32.4,
 240387,  22.4,  33.7,  33.5,  32.4,
 262144,  22.4,  33.7,  33.4,  32.4,
 285870,  22.4,  33.6,  33.4,  32.4,
 311744,  22.4,  33.6,  33.4,  32.4,
 339959,  22.4,  33.6,  33.4,  32.4,
 370728,  22.4,  33.6,  33.4,  32.4,
 404281,  22.4,  33.6,  33.4,  32.4,
 440872,  22.4,  33.6,  33.4,  32.4,
 480774,  22.4,  33.6,  33.5,  32.4,
 524288,  22.4,  33.6,  33.5,  32.4,

write bandwidth (GB/s)
      4,  56.6,  94.4, 169.8, 207.6,
      4,  56.6, 113.2, 169.8, 215.3,
      5,  56.6, 113.2, 169.8, 226.4,
      5,  56.6, 113.2, 169.8, 215.2,
      6,  56.6, 113.2, 169.8, 215.2,
      6,  56.6, 113.2, 158.6, 207.6,
      7,  56.2, 113.2, 167.5, 215.3,
      7,  56.2, 113.2, 162.0, 207.6,
      8,  56.2, 113.2, 169.8, 226.4,
      9,  56.6, 113.2, 158.6, 209.1,
     10,  56.6, 113.2, 169.8, 226.4,
     10,  56.6, 113.2, 158.6, 207.7,
     11,  56.6, 113.2, 169.8, 226.4,
     12,  56.6, 113.2, 158.6, 215.2,
     13,  56.5, 112.8, 169.8, 226.4,
     15,  56.6, 112.4, 158.6, 207.7,
     16,  56.6, 112.4, 169.8, 215.3,
     17,  56.6,  99.3, 158.6, 207.5,
     19,  56.6, 100.2, 169.8, 215.6,
     21,  56.6, 100.5, 142.2, 207.5,
     23,  56.6, 101.5, 153.9, 207.7,
     25,  56.5, 102.5, 151.5, 226.4,
     27,  56.5, 102.7, 133.1, 192.2,
     29,  56.9, 103.6, 135.8, 184.2,
     32,  56.2, 104.2, 139.3, 176.6,
     35,  55.4, 104.8, 140.3, 170.4,
     38,  55.2, 105.7, 133.9, 168.7,
     41,  54.9, 106.3, 142.6, 168.4,
     45,  55.4, 106.7, 145.3, 175.7,
     49,  54.9, 106.8, 138.2, 173.9,
     54,  55.2, 107.5, 148.5, 182.0,
     59,  55.5, 107.0, 147.0, 177.6,
     64,  55.4, 106.3, 151.5, 177.1,
     70,  55.0, 106.4, 138.3, 193.6,
     76,  55.0, 106.1, 144.6, 181.3,
     83,  55.0, 106.2, 154.9, 185.2,
     91,  55.0, 106.4, 156.3, 187.4,
     99,  55.3, 106.8, 158.2, 193.8,
    108,  55.2, 107.0, 147.8, 188.3,
    117,  55.2, 107.5, 157.1, 188.3,
    128,  55.0, 107.5, 148.5, 184.3,
    140,  55.3, 108.1, 148.8, 199.8,
    152,  55.1, 108.1, 149.6, 200.3,
    166,  55.0, 108.1, 150.1, 192.7,
    181,  55.2, 108.6, 160.5, 203.4,
    197,  55.2, 109.1, 151.5, 194.7,
    215,  55.4, 109.3, 162.2, 203.0,
    235,  55.2, 109.3, 151.5, 196.2,
    256,  55.0, 108.9, 161.0, 203.8,
    279,  55.2, 108.5, 162.3, 197.5,
    304,  55.1, 108.4, 163.2, 208.7,
    332,  55.5, 109.3, 162.4, 198.5,
    362,  55.5, 109.6, 163.5, 216.1,
    395,  55.0, 109.5, 163.3, 202.0,
    431,  54.6, 109.2, 164.1, 206.6,
    470,  54.4, 109.2, 153.1, 197.4,
    512,  54.3, 109.3, 153.0, 200.1,
    558,  54.0, 109.9, 153.0, 200.6,
    609,  53.2, 110.2, 152.6, 201.4,
    664,  53.1, 110.5, 147.0, 208.5,
    724,  53.5, 110.6, 154.9, 200.5,
    790,  54.2, 110.0, 153.9, 208.4,
    861,  54.8, 109.5, 158.0, 201.2,
    939,  54.7, 108.4, 165.2, 209.1,
   1024,  55.0, 108.1, 154.3, 202.0,
   1117,  55.2, 107.3, 165.5, 209.9,
   1218,  54.9, 104.9, 153.7, 201.6,
   1328,  55.1, 105.5, 164.8, 209.8,
   1448,  54.8, 107.0, 163.3, 209.9,
   1579,  55.0, 107.6, 161.4, 219.5,
   1722,  54.8, 107.9, 160.1, 203.9,
   1878,  54.7, 108.2, 156.7, 218.3,
   2048,  55.0, 108.1, 148.9, 198.7,
   2233,  55.1, 108.4, 160.5, 194.3,
   2435,  54.9, 108.0, 159.8, 194.0,
   2656,  54.7, 108.2, 161.7, 196.0,
   2896,  55.2, 108.3, 161.3, 203.1,
   3158,  54.8, 108.0, 161.8, 202.8,
   3444,  54.7, 107.7, 160.8, 210.9,
   3756,  55.1, 107.3, 164.1, 203.8,
   4096,  38.3, 108.5, 162.0, 204.7,
   4467,  20.9,  68.7, 134.5, 198.9,
   4871,  12.7,  63.8, 102.2, 170.0,
   5312,  10.5,  64.1, 108.9, 132.7,
   5793,  10.0,  17.1,  72.9, 108.8,
   6317,  10.1,  14.3,  18.4, 133.4,
   6889,  10.1,  13.4,  14.0,  47.0,
   7512,  10.1,  13.4,  13.0,  13.7,
   8192,  10.1,  13.3,  13.0,  12.5,
   8933,  10.0,  13.3,  12.9,  12.3,
   9742,  10.1,  13.3,  12.9,  12.3,
  10624,  10.1,  13.3,  12.9,  12.4,
  11585,  10.1,  13.3,  13.0,  12.3,
  12634,  10.1,  13.3,  13.0,  12.3,
  13777,  10.0,  13.3,  12.9,  12.3,
  15024,  10.1,  13.3,  13.1,  12.4,
  16384,  10.0,  13.3,  13.0,  12.3,
  17867,  10.0,  13.3,  12.7,  12.4,
  19484,  10.0,  13.3,  12.8,  12.3,
  21247,  10.0,  13.3,  12.9,  12.3,
  23170,  10.1,  13.3,  12.7,  12.4,
  25268,  10.0,  13.4,  12.8,  12.4,
  27554,  10.0,  13.3,  12.8,  12.4,
  30048,  10.0,  13.2,  12.8,  12.3,
  32768,  10.0,  13.3,  12.9,  12.3,
  35734,  10.0,  13.3,  13.0,  12.4,
  38968,  10.0,  13.3,  12.9,  12.4,
  42495,  10.0,  13.3,  12.8,  12.4,
  46341,  10.0,  13.3,  12.7,  12.4,
  50535,  10.0,  13.3,  12.9,  12.4,
  55109,   9.9,  13.3,  12.8,  12.4,
  60097,   9.9,  13.3,  12.8,  12.4,
  65536,   9.9,  13.3,  12.8,  12.4,
  71468,   9.9,  13.3,  12.8,  12.4,
  77936,   9.9,  13.3,  12.7,  12.4,
  84990,   9.9,  13.3,  12.8,  12.4,
  92682,   9.9,  13.3,  12.8,  12.4,
 101070,   9.9,  12.2,  12.8,  12.4,
 110218,  10.0,  13.3,  12.8,  12.4,
 120194,  10.0,  13.3,  12.9,  12.4,
 131072,   9.9,  13.3,  12.7,  12.4,
 142935,  10.0,  13.2,  12.9,  12.4,
 155872,   9.9,  13.3,  12.9,  12.4,
 169979,   9.9,  13.3,  12.9,  12.4,
 185364,  10.0,  13.3,  12.9,  12.4,
 202141,  10.0,  13.3,  12.8,  12.4,
 220436,   9.9,  13.3,  12.8,  12.4,
 240387,   9.9,  13.3,  12.8,  12.4,
 262144,  10.0,  13.3,  12.8,  12.4,
 285870,   9.9,  13.3,  12.7,  12.4,
 311744,   9.9,  13.3,  12.8,  12.4,
 339959,   9.9,  13.3,  12.9,  12.4,
 370728,   9.9,  13.3,  12.9,  12.4,
 404281,   9.9,  13.2,  12.8,  12.4,
 440872,  10.0,  13.3,  12.8,  12.4,
 480774,   9.9,  13.3,  12.9,  12.4,
 524288,   9.9,  13.3,  12.9,  12.4,
