ram_speed 0.03 (gcc 9.4.0/Linux/asm:off)

test target: pcore

Environment Info
OS : Ubuntu 20.04.6 LTS (5.10.110-37-rockchip-g74457be0716d)
CPU: Cortex-A55x4 + Cortex-A76x4  (4P+4E,8C/8T)
RAM: Used 2461 MB, Total 7691 MB

Cortex-A55x4 + Cortex-A76x4  (4P+4E,8C/8T)
CPU cores
  core  0 E : *-------
  core  1 E : -*------
  core  2 E : --*-----
  core  3 E : ---*----
  core  4 P : ----*---
  core  5 P : -----*--
  core  6 P : ------*-
  core  7 P : -------*
CPU caches
  cache L1D : *------- :  4way     32KB
  cache L1I : *------- :  4way     32KB
  cache L1D : -*------ :  4way     32KB
  cache L1I : -*------ :  4way     32KB
  cache L1D : --*----- :  4way     32KB
  cache L1I : --*----- :  4way     32KB
  cache L1D : ---*---- :  4way     32KB
  cache L1I : ---*---- :  4way     32KB
  cache L1D : ----*--- :  4way     64KB
  cache L1I : ----*--- :  4way     64KB
  cache L1D : -----*-- :  4way     64KB
  cache L1I : -----*-- :  4way     64KB
  cache L1D : ------*- :  4way     64KB
  cache L1I : ------*- :  4way     64KB
  cache L1D : -------* :  4way     64KB
  cache L1I : -------* :  4way     64KB
  cache L2  : *------- :  4way    128KB
  cache L2  : -*------ :  4way    128KB
  cache L2  : --*----- :  4way    128KB
  cache L2  : ---*---- :  4way    128KB
  cache L2  : ----*--- :  8way    512KB
  cache L2  : -----*-- :  8way    512KB
  cache L2  : ------*- :  8way    512KB
  cache L2  : -------* :  8way    512KB
  cache L3  : ******** : 12way   3072KB

inter core latency (ns)
      ,     0 P,     1 P,     2 P,     3 P
   0 P,        ,  220.97,  107.21,   76.54
   1 P,   62.45,        ,  162.08,   85.94
   2 P,   83.04,   86.35,        ,   61.36
   3 P,  157.90,   97.51,   75.84,        

ram latency (ns)
, sequantial, cacheline forward2, full random
   1117,  32.6,  71.1, 116.5, 144.4,
   1218,  31.7,  68.5, 118.1, 137.0,
   1328,  31.5,  66.0, 112.7, 148.1,
   1448,  30.9,  62.7,  75.0, 125.9,
   1579,  25.4,  59.4, 101.4, 141.0,
   1722,  24.8,  56.8,  89.7, 113.0,
   1878,  23.8,  53.9,  82.2, 131.9,
   2048,  22.9,  47.4,  72.2, 118.3,
   2233,  23.6,  47.0,  68.4, 109.6,
   2435,  21.8,  44.5,  64.4,  96.3,
   2656,  17.4,  40.2,  60.9,  88.8,
   2896,  15.8,  38.1,  57.8,  80.3,
   3158,  12.7,  34.9,  53.6,  70.1,
   3444,  11.1,  26.1,  47.0,  62.4,
   3756,  10.0,  19.0,  40.6,  54.8,
   4096,   9.3,  16.2,  46.2,  54.7,
   4467,  14.0,  23.4,  44.7,  53.0,
   4871,  18.2,  19.5,  40.4,  48.8,
   5312,  17.4,  28.7,  37.6,  47.0,
   5793,  18.2,  31.6,  36.6,  43.4,
   6317,  15.6,  25.3,  35.9,  41.1,
   6889,  17.6,  28.7,  31.1,  37.7,
   7512,  17.3,  27.5,  31.6,  34.7,
   8192,  17.1,  28.0,  29.9,  32.4,
   8933,  16.9,  27.4,  28.4,  30.2,
   9742,  16.8,  24.6,  27.2,  28.7,
  10624,  16.9,  26.2,  28.8,  27.4,
  11585,  17.3,  25.6,  25.6,  27.8,
  12634,  16.7,  25.2,  26.9,  26.7,
  13777,  16.8,  24.9,  27.9,  26.0,
  15024,  16.9,  24.6,  25.6,  27.1,
  16384,  16.6,  24.3,  27.0,  26.5,
  17867,  16.9,  24.0,  26.5,  25.6,
  19484,  16.7,  23.8,  26.2,  25.2,
  21247,  16.6,  23.6,  25.9,  24.7,
  23170,  16.6,  23.4,  25.6,  24.4,
  25268,  16.5,  23.2,  25.4,  25.7,
  27554,  16.8,  23.1,  25.2,  25.5,
  30048,  16.7,  22.9,  24.9,  25.2,
  32768,  17.0,  22.8,  24.8,  25.1,
  35734,  17.0,  22.7,  24.7,  24.8,
  38968,  17.0,  22.5,  24.5,  24.7,
  42495,  17.0,  22.5,  24.4,  24.5,
  46341,  17.0,  22.4,  24.3,  24.4,
  50535,  16.9,  22.4,  24.2,  24.2,
  55109,  16.9,  22.3,  24.1,  24.2,
  60097,  16.9,  22.2,  24.0,  24.1,
  65536,  16.9,  22.2,  24.0,  24.0,
  71468,  16.8,  22.1,  23.9,  23.9,
  77936,  16.8,  22.1,  23.8,  23.8,
  84990,  16.7,  22.1,  23.8,  23.8,
  92682,  16.8,  22.0,  23.8,  23.7,
 101070,  16.7,  22.0,  23.7,  23.7,
 110218,  16.8,  21.2,  23.0,  23.1,
